Year,Value,SERIES
2014,378,Число осужденных за должностные преступления
2015,336,Число осужденных за должностные преступления
2016,351,Число осужденных за должностные преступления
2017,234,Число осужденных за должностные преступления
2018,342,Число осужденных за должностные преступления
2019,223,Число осужденных за должностные преступления
2020,210,Число осужденных за должностные преступления
2021,371,Число осужденных за должностные преступления
2022,370,Число осужденных за должностные преступления
2023,413,Число осужденных за должностные преступления
2014,62,Число осужденных за коррупцию и взяточничество
2015,69,Число осужденных за коррупцию и взяточничество
2016,72,Число осужденных за коррупцию и взяточничество
2017,52,Число осужденных за коррупцию и взяточничество
2018,56,Число осужденных за коррупцию и взяточничество
2019,66,Число осужденных за коррупцию и взяточничество
2020,59,Число осужденных за коррупцию и взяточничество
2021,178,Число осужденных за коррупцию и взяточничество
2022,137,Число осужденных за коррупцию и взяточничество
2023,79,Число осужденных за коррупцию и взяточничество
