Year,Value,SERIES
2015,13.2,"Доля времени, затрачиваемого на неоплачиваемый труд по уходу и работу по дому"
2020,11.5,"Доля времени, затрачиваемого на неоплачиваемый труд по уходу и работу по дому"
2015,1.7,"Доля времени, затрачиваемого на неоплачиваемый труд по работе по дому"
2020,2.6,"Доля времени, затрачиваемого на неоплачиваемый труд по работе по дому"
2015,0.9,"Доля времени, затрачиваемого на неоплачиваемый труд по уходу"
2020,2.0,"Доля времени, затрачиваемого на неоплачиваемый труд по уходу"
