Year,Value,UNIT_MEASURE,SERIES
2019,484.0,Число,Число местных органов власти
2020,484.0,Число,Число местных органов власти
2021,484.0,Число,Число местных органов власти
2022,484.0,Число,Число местных органов власти
2023,484.0,Число,Число местных органов власти
2019,10.12397,Процент,"Доля местных органов власти, принявших и осуществляющих местные стратегии снижения риска бедствий"
2020,13.2,Процент,"Доля местных органов власти, принявших и осуществляющих местные стратегии снижения риска бедствий"
2021,21.5,Процент,"Доля местных органов власти, принявших и осуществляющих местные стратегии снижения риска бедствий"
2022,34.5,Процент,"Доля местных органов власти, принявших и осуществляющих местные стратегии снижения риска бедствий"
2023,40.53,Процент,"Доля местных органов власти, принявших и осуществляющих местные стратегии снижения риска бедствий"
2019,49.0,Число,"Число местных органов власти, принявших и осуществляющих местные DRR стратегии по снижению риска бедствий в соответствии с национальными стратегиями"
2020,67.0,Число,"Число местных органов власти, принявших и осуществляющих местные DRR стратегии по снижению риска бедствий в соответствии с национальными стратегиями"
2021,104.0,Число,"Число местных органов власти, принявших и осуществляющих местные DRR стратегии по снижению риска бедствий в соответствии с национальными стратегиями"
2022,167.0,Число,"Число местных органов власти, принявших и осуществляющих местные DRR стратегии по снижению риска бедствий в соответствии с национальными стратегиями"
2023,169.0,Число,"Число местных органов власти, принявших и осуществляющих местные DRR стратегии по снижению риска бедствий в соответствии с национальными стратегиями"
