Year,REF_AREA,AGE,URBANISATION,EDUCATION_LEV,GeoCode,Value
2018,,Y15T49,,,,2.2
2018,,Y15T49,U,,,2.5
2018,,Y15T49,R,,,2.1
2018,KG05,Y15T49,,,KG05,0.0
2018,KG03,Y15T49,,,KG03,0.9
2018,KG02,Y15T49,,,KG02,0.7
2018,KG04,Y15T49,,,KG04,1.7
2018,KG06,Y15T49,,,KG06,1.1
2018,KG07,Y15T49,,,KG07,1.2
2018,KG08,Y15T49,,,KG08,6.3
2018,KG11,Y15T49,,,KG11,3.1
2018,KG21,Y15T49,,,KG21,1.7
2018,,Y15T19,,,,1.7
2018,,Y15T17,,,,1.1
2018,,Y18T19,,,,3.0
2018,,Y20T24,,,,2.3
2018,,Y25T29,,,,2.6
2018,,Y30T34,,,,2.3
2018,,Y35T39,,,,2.4
2018,,Y40T44,,,,2.3
2018,,Y45T49,,,,1.9
2018,,Y15T49,,ISCED11_2,,2.3
2018,,Y15T49,,ISCED11_3,,1.2
2018,,Y15T49,,ISCED11_4,,2.7
2018,,Y15T49,,ISCED11_6_7,,3.3
