Year,REF_AREA,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,DISABILITY_STATUS,GeoCode,Value
2014,,,,,,,,420
2018,,,,,,,,674
2023,,,,,,,,590
2014,KG05,,,,,,KG05,450
2018,KG05,,,,,,KG05,486
2023,KG05,,,,,,KG05,433
2014,KG03,,,,,,KG03,314
2018,KG03,,,,,,KG03,562
2023,KG03,,,,,,KG03,515
2014,KG02,,,,,,KG02,460
2018,KG02,,,,,,KG02,651
2023,KG02,,,,,,KG02,619
2014,KG04,,,,,,KG04,589
2018,KG04,,,,,,KG04,798
2023,KG04,,,,,,KG04,740
2014,KG06,,,,,,KG06,384
2018,KG06,,,,,,KG06,711
2023,KG06,,,,,,KG06,560
2014,KG07,,,,,,KG07,434
2018,KG07,,,,,,KG07,791
2023,KG07,,,,,,KG07,809
2014,KG08,,,,,,KG08,478
2018,KG08,,,,,,KG08,707
2023,KG08,,,,,,KG08,613
2014,KG11,,,,,,KG11,470
2018,KG11,,,,,,KG11,696
2023,KG11,,,,,,KG11,718
2014,KG21,,,,,,KG21,383
2018,KG21,,,,,,KG21,713
2023,KG21,,,,,,KG21,586
2014,,,U,,,,,431
2018,,,U,,,,,686
2023,,,U,,,,,606
2014,,,R,,,,,414
2018,,,R,,,,,667
2023,,,R,,,,,583
2014,,Y15T19,,,,,,174
2018,,Y15T19,,,,,,317
2014,,Y20T24,,,,,,289
2018,,Y20T24,,,,,,538
2023,,Y20T24,,,,,,357
2014,,Y25T29,,,,,,392
2018,,Y25T29,,,,,,599
2023,,Y25T29,,,,,,501
2014,,Y30T34,,,,,,504
2018,,Y30T34,,,,,,762
2023,,Y30T34,,,,,,570
2014,,Y35T39,,,,,,572
2018,,Y35T39,,,,,,745
2023,,Y35T39,,,,,,663
2014,,Y40T44,,,,,,522
2018,,Y40T44,,,,,,687
2023,,Y40T44,,,,,,689
2014,,Y45T49,,,,,,293
2018,,Y45T49,,,,,,660
2023,,Y45T49,,,,,,638
2014,,,,,ISCED11_1,,,204
2014,,,,,ISCED11_2,,,365
2018,,,,,ISCED11_2,,,678
2023,,,,,ISCED11_2,,,629
2014,,,,,ISCED11_3,,,421
2018,,,,,ISCED11_3,,,629
2023,,,,,ISCED11_3,,,558
2014,,,,,ISCED11_4,,,433
2018,,,,,ISCED11_4,,,662
2023,,,,,ISCED11_4,,,552
2014,,,,,ISCED11_5,,,437
2018,,,,,ISCED11_5,,,743
2023,,,,,ISCED11_5,,,655
2018,,,,,,PD,,816
2018,,,,,,PWD,,671
2023,,,,,,PWD,,593
2014,,,,Q1,,,,425
2018,,,,Q1,,,,665
2023,,,,Q1,,,,489
2014,,,,Q2,,,,378
2018,,,,Q2,,,,607
2023,,,,Q2,,,,582
2014,,,,Q3,,,,391
2018,,,,Q3,,,,692
2023,,,,Q3,,,,584
2014,,,,Q4,,,,451
2018,,,,Q4,,,,693
2023,,,,Q4,,,,622
2014,,,,Q5,,,,453
2018,,,,Q5,,,,714
2023,,,,Q5,,,,675
