Year,Value,SERIES
2007,5.968864,_L_KG_010301_1G2
2008,6.611241,_L_KG_010301_1G2
2009,5.109427,_L_KG_010301_1G2
2010,5.204752,_L_KG_010301_1G2
2011,2.488161,_L_KG_010301_1G2
2012,1.394354,_L_KG_010301_1G2
2013,3.120433,_L_KG_010301_1G2
2014,2.594375,_L_KG_010301_1G2
2015,2.198462,_L_KG_010301_1G2
2016,2.327986,_L_KG_010301_1G2
2017,2.172493,_L_KG_010301_1G2
2018,2.163941,_L_KG_010301_1G2
2019,2.259523,_L_KG_010301_1G2
2020,2.4,_L_KG_010301_1G2
2021,3.5,_L_KG_010301_1G2
2022,3.8,_L_KG_010301_1G2
2023,3.7,_L_KG_010301_1G2
2024,3.510383,_L_KG_010301_1G2
2007,59.241298,_L_KG_010301_1G3
2008,61.233202,_L_KG_010301_1G3
2009,48.534186,_L_KG_010301_1G3
2010,49.060743,_L_KG_010301_1G3
2011,22.957535,_L_KG_010301_1G3
2012,12.62552,_L_KG_010301_1G3
2013,28.824314,_L_KG_010301_1G3
2014,24.113102,_L_KG_010301_1G3
2015,20.458403,_L_KG_010301_1G3
2016,21.618658,_L_KG_010301_1G3
2017,20.190277,_L_KG_010301_1G3
2018,19.898854,_L_KG_010301_1G3
2019,20.5,_L_KG_010301_1G3
2020,21.8,_L_KG_010301_1G3
2021,30.8,_L_KG_010301_1G3
2022,33.6,_L_KG_010301_1G3
2023,32.3,_L_KG_010301_1G3
2024,30.207203,_L_KG_010301_1G3
