Year,Value,GeoCode
2007,92,
2008,89,
2009,85,
2010,92,
2011,85,
2012,93,
2013,78,
2014,79,
2015,70,
2016,69,
2017,63,
2018,60,
2019,58,
2020,46,
2021,58,
2022,49,
2023,48,
