Year,Value,Series
2007,3014,CL_SERIES._L_KG_100301_1A1
2008,2136,CL_SERIES._L_KG_100301_1A1
2009,1742,CL_SERIES._L_KG_100301_1A1
2010,1862,CL_SERIES._L_KG_100301_1A1
2011,2098,CL_SERIES._L_KG_100301_1A1
2012,2843,CL_SERIES._L_KG_100301_1A1
2013,2466,CL_SERIES._L_KG_100301_1A1
2014,2411,CL_SERIES._L_KG_100301_1A1
2015,2483,CL_SERIES._L_KG_100301_1A1
2016,3800,CL_SERIES._L_KG_100301_1A1
2017,3242,CL_SERIES._L_KG_100301_1A1
2018,3237,CL_SERIES._L_KG_100301_1A1
2007,619,CL_SERIES._L_KG_100301_1A2
2010,309,CL_SERIES._L_KG_100301_1A2
2011,196,CL_SERIES._L_KG_100301_1A2
2012,501,CL_SERIES._L_KG_100301_1A2
2013,384,CL_SERIES._L_KG_100301_1A2
2015,374,CL_SERIES._L_KG_100301_1A2
2016,615,CL_SERIES._L_KG_100301_1A2
2017,531,CL_SERIES._L_KG_100301_1A2
2018,376,CL_SERIES._L_KG_100301_1A2
