Year,Value
2007,1.124026
2008,1.150702
2009,1.176048
2010,1.2
2011,1.287183
2012,1.283635
2013,1.3
2014,1.3
2015,1.3
2016,1.4
2017,1.4
2018,1.4
2019,1.4
2020,1.4
2021,1.46836
2022,1.5
2023,1.5
