Year,Value,GeoCode
2007,28.230037,
2008,28.707705,
2009,31.207151,
2010,34.14317,
2011,41.407364,
2012,42.053678,
2013,41.933249,
2014,43.3,
2015,42.3,
2016,38.1,
2017,33.9,
2018,35.9,
2019,37.7,
2020,33.4,
2021,29.684645,
2022,30.042887,
2023,28.85,
2024,26.38,
