Year,Value,Units,Series
2010,99.5,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1A
2011,106.0,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1A
2012,99.9,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1A
2013,110.9,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1A
2014,104.0,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1A
2015,103.9,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1A
2016,104.3,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1A
2017,104.7,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1A
2018,103.8,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1A
2010,108.0,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1B
2011,116.6,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1B
2012,102.8,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1B
2013,106.6,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1B
2014,107.5,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1B
2015,106.5,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1B
2016,100.4,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1B
2017,103.2,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1B
2018,101.5,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1B
2019,101.1,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1B
2010,122.79,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1C
2011,122.02,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1C
2012,105.3,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1C
2013,97.92,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1C
2014,101.45,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1C
2015,108.75,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1C
2016,106.41,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1C
2017,101.66,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1C
2018,101.49,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1C
2019,104.1,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_171301_1C
2010,-10767.9787,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_171301_1D
2011,-13663.7111,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_171301_1D
2012,-20232.3134,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_171301_1D
2013,-2330.4823,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_171301_1D
2014,-1875.5431,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_171301_1D
2015,-6149.3213,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_171301_1D
2016,-20888.9124,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_171301_1D
2017,-16476.1602,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_171301_1D
2018,-6188.9008,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_171301_1D
2019,-431.7092,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_171301_1D
2010,7667.4055,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_171301_1E
2011,9394.668149,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_171301_1E
2012,11440.61056,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_171301_1E
2013,13939.58569,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_171301_1E
2014,13713.456934,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_171301_1E
2015,14364.3936,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_171301_1E
2016,20698.734025,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_171301_1E
2017,20620.48082,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_171301_1E
