Year,Value,Units,Series
2007,87.7,CL_UNIT_MEASURE._L_KWH_MN_KGS,CL_SERIES._L_KG_070301_2A
2008,59.8,CL_UNIT_MEASURE._L_KWH_MN_KGS,CL_SERIES._L_KG_070301_2A
2009,49.9,CL_UNIT_MEASURE._L_KWH_MN_KGS,CL_SERIES._L_KG_070301_2A
2010,47.7,CL_UNIT_MEASURE._L_KWH_MN_KGS,CL_SERIES._L_KG_070301_2A
2011,43.3,CL_UNIT_MEASURE._L_KWH_MN_KGS,CL_SERIES._L_KG_070301_2A
2012,43.7,CL_UNIT_MEASURE._L_KWH_MN_KGS,CL_SERIES._L_KG_070301_2A
2013,38.5,CL_UNIT_MEASURE._L_KWH_MN_KGS,CL_SERIES._L_KG_070301_2A
2014,36.9,CL_UNIT_MEASURE._L_KWH_MN_KGS,CL_SERIES._L_KG_070301_2A
2015,31.5,CL_UNIT_MEASURE._L_KWH_MN_KGS,CL_SERIES._L_KG_070301_2A
2016,27.9,CL_UNIT_MEASURE._L_KWH_MN_KGS,CL_SERIES._L_KG_070301_2A
2017,26.9,CL_UNIT_MEASURE._L_KWH_MN_KGS,CL_SERIES._L_KG_070301_2A
2018,26.3,CL_UNIT_MEASURE._L_KWH_MN_KGS,CL_SERIES._L_KG_070301_2A
2019,24.41,CL_UNIT_MEASURE._L_KWH_MN_KGS,CL_SERIES._L_KG_070301_2A
2007,158.9,CL_UNIT_MEASURE._L_KWH,CL_SERIES._L_KG_070301_2B
2008,146.9,CL_UNIT_MEASURE._L_KWH,CL_SERIES._L_KG_070301_2B
2009,168.8,CL_UNIT_MEASURE._L_KWH,CL_SERIES._L_KG_070301_2B
2010,180.5,CL_UNIT_MEASURE._L_KWH,CL_SERIES._L_KG_070301_2B
2011,174.7,CL_UNIT_MEASURE._L_KWH,CL_SERIES._L_KG_070301_2B
2012,155.2,CL_UNIT_MEASURE._L_KWH,CL_SERIES._L_KG_070301_2B
2013,160.3,CL_UNIT_MEASURE._L_KWH,CL_SERIES._L_KG_070301_2B
2014,130.9,CL_UNIT_MEASURE._L_KWH,CL_SERIES._L_KG_070301_2B
2015,207.6,CL_UNIT_MEASURE._L_KWH,CL_SERIES._L_KG_070301_2B
2016,248.3,CL_UNIT_MEASURE._L_KWH,CL_SERIES._L_KG_070301_2B
2017,260.3,CL_UNIT_MEASURE._L_KWH,CL_SERIES._L_KG_070301_2B
2018,202.9,CL_UNIT_MEASURE._L_KWH,CL_SERIES._L_KG_070301_2B
2019,200.5,CL_UNIT_MEASURE._L_KWH,CL_SERIES._L_KG_070301_2B
