Year,Value,Units,Series
2007,9.9,CL_UNIT_MEASURE.PT,CL_SERIES.NV_IND_MANF
2008,13.2,CL_UNIT_MEASURE.PT,CL_SERIES.NV_IND_MANF
2009,14.2,CL_UNIT_MEASURE.PT,CL_SERIES.NV_IND_MANF
2010,16.9,CL_UNIT_MEASURE.PT,CL_SERIES.NV_IND_MANF
2011,18.3,CL_UNIT_MEASURE.PT,CL_SERIES.NV_IND_MANF
2012,12.1,CL_UNIT_MEASURE.PT,CL_SERIES.NV_IND_MANF
2013,15.8,CL_UNIT_MEASURE.PT,CL_SERIES.NV_IND_MANF
2014,13.7,CL_UNIT_MEASURE.PT,CL_SERIES.NV_IND_MANF
2015,14.0,CL_UNIT_MEASURE.PT,CL_SERIES.NV_IND_MANF
2016,15.4,CL_UNIT_MEASURE.PT,CL_SERIES.NV_IND_MANF
2017,15.0,CL_UNIT_MEASURE.PT,CL_SERIES.NV_IND_MANF
2018,14.3,CL_UNIT_MEASURE.PT,CL_SERIES.NV_IND_MANF
2019,14.3,CL_UNIT_MEASURE.PT,CL_SERIES.NV_IND_MANF
2007,2.8,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES.NV_IND_MANFPC
2008,4.9,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES.NV_IND_MANFPC
2009,5.6,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES.NV_IND_MANFPC
2010,7.2,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES.NV_IND_MANFPC
2011,9.9,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES.NV_IND_MANFPC
2012,7.0,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES.NV_IND_MANFPC
2013,10.3,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES.NV_IND_MANFPC
2014,9.8,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES.NV_IND_MANFPC
2015,10.6,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES.NV_IND_MANFPC
2016,12.6,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES.NV_IND_MANFPC
2017,13.4,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES.NV_IND_MANFPC
2018,13.4,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES.NV_IND_MANFPC
2019,13.5,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES.NV_IND_MANFPC
