Year,Value,Units,Series
2014,4.535563,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC
2015,4.4443980000000005,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC
2016,3.472061,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC
2017,3.778379,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC
2018,3.132627,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC
2019,2.575293,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC
2014,262.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN
2015,262.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN
2016,209.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN
2017,232.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN
2018,196.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN
2019,168.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN
