Year,Value
2002,2.091996
2003,0.043052
2004,1.315262
2005,0.264784
2006,0.532574
2007,0.7388
2008,2.995924
2009,3.058219
2010,2.658333
2011,4.796922
2012,2.746933
2013,3.793126
2014,7.379341
2015,0.267016
2016,0.853798
2017,0.937146
2018,4.582705
2019,0.542824
2020,3.795364
2021,0.4227
2022,11.619307
2023,9.382499
