Year,Value,SERIES
2012,2.984,_L_KG_160701_1A
2013,4.897724,_L_KG_160701_1A
2014,3.126344,_L_KG_160701_1A
2015,4.424534,_L_KG_160701_1A
2016,4.539295,_L_KG_160701_1A
2017,1.571123,_L_KG_160701_1A
2018,1.319706,_L_KG_160701_1A
2019,1.2,_L_KG_160701_1A
2020,1.2,_L_KG_160701_1A
2021,2.6,_L_KG_160701_1A
2012,2.446991,_L_KG_160701_1B
2013,1.331029,_L_KG_160701_1B
2014,0.860462,_L_KG_160701_1B
2015,2.195675,_L_KG_160701_1B
2016,2.647922,_L_KG_160701_1B
2017,2.66922,_L_KG_160701_1B
2018,2.594485,_L_KG_160701_1B
2019,3.3,_L_KG_160701_1B
2020,3.3,_L_KG_160701_1B
2021,3.0,_L_KG_160701_1B
2012,94.569008,_L_KG_160701_1C
2013,93.771247,_L_KG_160701_1C
2014,96.013194,_L_KG_160701_1C
2015,93.379791,_L_KG_160701_1C
2016,92.812782,_L_KG_160701_1C
2017,95.759658,_L_KG_160701_1C
2018,96.085809,_L_KG_160701_1C
2019,95.5,_L_KG_160701_1C
2020,95.5,_L_KG_160701_1C
2021,94.4,_L_KG_160701_1C
