Year,Value,GeoCode,UNIT_MEASURE
2015,38.5,,PER_100000_LIVE_BIRTHS
2016,30.3,,PER_100000_LIVE_BIRTHS
2017,31.2,,PER_100000_LIVE_BIRTHS
2018,29.8,,PER_100000_LIVE_BIRTHS
2019,24.8,,PER_100000_LIVE_BIRTHS
2020,42.4,,PER_100000_LIVE_BIRTHS
2021,37.1,,PER_100000_LIVE_BIRTHS
2022,28.1,,PER_100000_LIVE_BIRTHS
2023,26.0,,PER_100000_LIVE_BIRTHS
2024,25.7,,PER_100000_LIVE_BIRTHS
