Year,Value,Series
2007,114961.0,CL_SERIES._L_KG_010301_1F2
2008,120274.0,CL_SERIES._L_KG_010301_1F2
2009,124751.0,CL_SERIES._L_KG_010301_1F2
2010,133398.0,CL_SERIES._L_KG_010301_1F2
2011,142897.0,CL_SERIES._L_KG_010301_1F2
2012,150206.0,CL_SERIES._L_KG_010301_1F2
2013,162967.0,CL_SERIES._L_KG_010301_1F2
2014,168679.0,CL_SERIES._L_KG_010301_1F2
2015,174693.0,CL_SERIES._L_KG_010301_1F2
2016,178944.0,CL_SERIES._L_KG_010301_1F2
2017,183330.0,CL_SERIES._L_KG_010301_1F2
2018,187313.0,CL_SERIES._L_KG_010301_1F2
2019,194364.0,CL_SERIES._L_KG_010301_1F2
2007,2.1907490000000003,CL_SERIES._L_KG_010301_1F1
2008,2.2739529999999997,CL_SERIES._L_KG_010301_1F1
2009,2.326232,CL_SERIES._L_KG_010301_1F1
2010,2.46199,CL_SERIES._L_KG_010301_1F1
2011,2.608742,CL_SERIES._L_KG_010301_1F1
2012,2.705494,CL_SERIES._L_KG_010301_1F1
2013,2.8211720000000002,CL_SERIES._L_KG_010301_1F1
2014,2.861361,CL_SERIES._L_KG_010301_1F1
2015,2.902128,CL_SERIES._L_KG_010301_1F1
2016,2.914302,CL_SERIES._L_KG_010301_1F1
2017,2.930125,CL_SERIES._L_KG_010301_1F1
2018,2.931575,CL_SERIES._L_KG_010301_1F1
2019,2.931575,CL_SERIES._L_KG_010301_1F1
