Year,Reference area,Value
2012,,56
2013,,56
2014,,57
2015,,57
2016,,57
2017,,56
2018,,56
2019,,56
2020,,56
2012,Batken,8
2013,Batken,8
2014,Batken,8
2015,Batken,8
2016,Batken,8
2017,Batken,8
2018,Batken,8
2019,Batken,8
2020,Batken,8
2012,Jalal-Abad,19
2013,Jalal-Abad,19
2014,Jalal-Abad,19
2015,Jalal-Abad,17
2016,Jalal-Abad,17
2017,Jalal-Abad,19
2018,Jalal-Abad,19
2019,Jalal-Abad,19
2020,Jalal-Abad,19
2012,Issyk-Kul,7
2013,Issyk-Kul,7
2014,Issyk-Kul,7
2015,Issyk-Kul,7
2016,Issyk-Kul,7
2017,Issyk-Kul,7
2018,Issyk-Kul,7
2019,Issyk-Kul,7
2020,Issyk-Kul,7
2012,Naryn,7
2013,Naryn,7
2014,Naryn,7
2015,Naryn,7
2016,Naryn,7
2017,Naryn,7
2018,Naryn,7
2019,Naryn,7
2020,Naryn,7
2012,Osh,9
2013,Osh,9
2014,Osh,10
2015,Osh,10
2016,Osh,10
2017,Osh,9
2018,Osh,9
2019,Osh,9
2020,Osh,9
2012,Talas,3
2013,Talas,3
2014,Talas,3
2015,Talas,3
2016,Talas,3
2017,Talas,3
2018,Talas,3
2019,Talas,3
2020,Talas,3
2012,Chui,2
2013,Chui,2
2014,Chui,2
2015,Chui,2
2016,Chui,2
2017,Chui,2
2018,Chui,2
2019,Chui,2
2020,Chui,2
