From,To
AGE,REF_AREA
AGE,SEX
AGE,URBANISATION
AGE,INCOME_WEALTH_QUANTILE
AGE,EDUCATION_LEV
AGE,DISABILITY_STATUS
EDUCATION_LEV,COMMENT_OBS
