From,To
COMMENT_OBS,Reference area
COMMENT_OBS,Sex
COMMENT_OBS,Age
COMMENT_OBS,Degree of urbanisation
COMMENT_OBS,Income or wealth quantile
COMMENT_OBS,Disability status
