Year,Value
2007,4.0
2008,4.2
2009,4.0
2010,3.7
2011,4.5
2012,4.6
2013,4.6
2014,4.3
2015,4.7
2016,4.6
2017,5.0
2018,5.0
2019,4.4
2020,2.9
2021,3.2
2022,3.4
