Year,Reference area,Degree of urbanisation,GeoCode,Value
2000,,,,60.521725
2001,,,,77.154938
2002,,,,51.354687
2003,,,,55.244615
2004,,,,48.2
2005,,,,49.472402
2006,,,,47.554172
2007,,,,48.479985
2008,,,,45.156055
2009,,,,40.667524
2010,,,,42.315954
2011,,,,44.70876
2012,,,,51.004239
2013,,,,48.629898
2014,,,,47.932099
2015,,,,50.982902
2016,,,,45.6165
2017,,,,50.0267
2018,,,,46.4
2019,,,,46.3
2020,,,,45.3
2021,,,,46.69
2000,,Urban,,69.472742
2001,,Urban,,84.06804
2002,,Urban,,67.700173
2003,,Urban,,59.23848
2004,,Urban,,49.4
2005,,Urban,,52.267834
2006,,Urban,,46.086276
2007,,Urban,,46.663125
2008,,Urban,,45.363642
2009,,Urban,,38.386768
2010,,Urban,,44.47285
2011,,Urban,,51.442437
2012,,Urban,,60.754126
2013,,Urban,,48.726107
2014,,Urban,,53.02
2015,,Urban,,58.534524
2016,,Urban,,48.6979
2017,,Urban,,55.5006
2018,,Urban,,51.6
2019,,Urban,,50.6
2020,,Urban,,48.2
2021,,Urban,,52.52
2000,,Rural,,55.809151
2001,,Rural,,73.452418
2002,,Rural,,42.634369
2003,,Rural,,53.092169
2004,,Rural,,48.1
2005,,Rural,,47.848938
2006,,Rural,,48.420366
2007,,Rural,,49.514891
2008,,Rural,,45.039446
2009,,Rural,,41.917619
2010,,Rural,,41.073296
2011,,Rural,,40.705385
2012,,Rural,,45.363875
2013,,Rural,,48.57992
2014,,Rural,,45.06
2015,,Rural,,46.84518
2016,,Rural,,43.9253
2017,,Rural,,47.0111
2018,,Rural,,43.5
2019,,Rural,,43.9
2020,,Rural,,43.6
2021,,Rural,,43.22
2000,Batken,,KG05,59.339716
2001,Batken,,KG05,61.621051
2002,Batken,,KG05,36.961393
2003,Batken,,KG05,42.329001
2004,Batken,,KG05,37.049508
2005,Batken,,KG05,53.54665
2006,Batken,,KG05,47.900712
2007,Batken,,KG05,30.186768
2008,Batken,,KG05,37.443818
2009,Batken,,KG05,48.591583
2010,Batken,,KG05,42.666903
2011,Batken,,KG05,44.064464
2012,Batken,,KG05,50.49106
2013,Batken,,KG05,62.932382
2014,Batken,,KG05,53.56602
2015,Batken,,KG05,49.799251
2016,Batken,,KG05,52.9718
2017,Batken,,KG05,52.4614
2018,Batken,,KG05,54.6
2019,Batken,,KG05,52.6
2020,Batken,,KG05,48.8
2021,Batken,,KG05,51.31
2000,Jalal-Abad,,KG03,59.287149
2001,Jalal-Abad,,KG03,81.005572
2002,Jalal-Abad,,KG03,42.498122
2003,Jalal-Abad,,KG03,57.011499
2004,Jalal-Abad,,KG03,51.655713
2005,Jalal-Abad,,KG03,61.433801
2006,Jalal-Abad,,KG03,52.669155
2007,Jalal-Abad,,KG03,61.234009
2008,Jalal-Abad,,KG03,51.475346
2009,Jalal-Abad,,KG03,34.357172
2010,Jalal-Abad,,KG03,45.552551
2011,Jalal-Abad,,KG03,41.458589
2012,Jalal-Abad,,KG03,56.178597
2013,Jalal-Abad,,KG03,55.445404
2014,Jalal-Abad,,KG03,54.779707
2015,Jalal-Abad,,KG03,55.904828
2016,Jalal-Abad,,KG03,48.1947
2017,Jalal-Abad,,KG03,41.1944
2018,Jalal-Abad,,KG03,44.0
2019,Jalal-Abad,,KG03,38.8
2020,Jalal-Abad,,KG03,41.5
2021,Jalal-Abad,,KG03,41.31
2000,Issyk-Kul,,KG02,65.030908
2001,Issyk-Kul,,KG02,78.831057
2002,Issyk-Kul,,KG02,60.063825
2003,Issyk-Kul,,KG02,52.018784
2004,Issyk-Kul,,KG02,40.999171
2005,Issyk-Kul,,KG02,46.03717
2006,Issyk-Kul,,KG02,49.877805
2007,Issyk-Kul,,KG02,50.802119
2008,Issyk-Kul,,KG02,54.861606
2009,Issyk-Kul,,KG02,44.383158
2010,Issyk-Kul,,KG02,43.452039
2011,Issyk-Kul,,KG02,41.044025
2012,Issyk-Kul,,KG02,36.987697
2013,Issyk-Kul,,KG02,39.824088
2014,Issyk-Kul,,KG02,42.638658
2015,Issyk-Kul,,KG02,46.284209
2016,Issyk-Kul,,KG02,45.0267
2017,Issyk-Kul,,KG02,51.7617
2018,Issyk-Kul,,KG02,49.4
2019,Issyk-Kul,,KG02,50.2
2020,Issyk-Kul,,KG02,49.7
2021,Issyk-Kul,,KG02,52.43
2000,Naryn,,KG04,69.421773
2001,Naryn,,KG04,83.854909
2002,Naryn,,KG04,61.635086
2003,Naryn,,KG04,56.394478
2004,Naryn,,KG04,64.607909
2005,Naryn,,KG04,41.085248
2006,Naryn,,KG04,44.647005
2007,Naryn,,KG04,54.995283
2008,Naryn,,KG04,46.270674
2009,Naryn,,KG04,45.332789
