Year,Reference area,Degree of urbanisation,GeoCode,Value
2010,Naryn,,KG04,53.95726
2011,Naryn,,KG04,55.074815
2012,Naryn,,KG04,50.991559
2013,Naryn,,KG04,49.875233
2014,Naryn,,KG04,54.149214
2015,Naryn,,KG04,50.007164
2016,Naryn,,KG04,52.6105
2017,Naryn,,KG04,41.3079
2018,Naryn,,KG04,42.5
2019,Naryn,,KG04,41.6
2020,Naryn,,KG04,46.7
2021,Naryn,,KG04,49.27
2000,Osh,,KG06,61.998935
2001,Osh,,KG06,79.954728
2002,Osh,,KG06,54.70914
2003,Osh,,KG06,61.826885
2004,Osh,,KG06,55.635299
2005,Osh,,KG06,53.173236
2006,Osh,,KG06,61.102156
2007,Osh,,KG06,57.709264
2008,Osh,,KG06,50.124177
2009,Osh,,KG06,46.700596
2010,Osh,,KG06,46.190482
2011,Osh,,KG06,47.071675
2012,Osh,,KG06,54.141276
2013,Osh,,KG06,47.140618
2014,Osh,,KG06,33.115
2015,Osh,,KG06,37.884188
2016,Osh,,KG06,39.4276
2017,Osh,,KG06,42.7541
2018,Osh,,KG06,41.5
2019,Osh,,KG06,36.6
2020,Osh,,KG06,36.5
2021,Osh,,KG06,31.68
2000,Talas,,KG07,63.975403
2001,Talas,,KG07,77.544184
2002,Talas,,KG07,49.613657
2003,Talas,,KG07,57.113622
2004,Talas,,KG07,56.048502
2005,Talas,,KG07,42.225864
2006,Talas,,KG07,48.801285
2007,Talas,,KG07,44.743736
2008,Talas,,KG07,46.638489
2009,Talas,,KG07,39.560145
2010,Talas,,KG07,38.135796
2011,Talas,,KG07,41.962558
2012,Talas,,KG07,42.399891
2013,Talas,,KG07,23.469023
2014,Talas,,KG07,27.367498
2015,Talas,,KG07,28.689411
2016,Talas,,KG07,27.3539
2017,Talas,,KG07,34.8662
2018,Talas,,KG07,36.1
2019,Talas,,KG07,37.0
2020,Talas,,KG07,29.6
2021,Talas,,KG07,35.59
2000,Chui,,KG08,46.583904
2001,Chui,,KG08,64.318147
2002,Chui,,KG08,39.251547
2003,Chui,,KG08,39.42033
2004,Chui,,KG08,33.925261
2005,Chui,,KG08,33.550114
2006,Chui,,KG08,27.796785
2007,Chui,,KG08,31.993627
2008,Chui,,KG08,32.482469
2009,Chui,,KG08,35.879613
2010,Chui,,KG08,30.869436
2011,Chui,,KG08,39.349758
2012,Chui,,KG08,35.689813
2013,Chui,,KG08,44.223608
2014,Chui,,KG08,51.04221
2015,Chui,,KG08,52.441412
2016,Chui,,KG08,43.6365
2017,Chui,,KG08,58.4127
2018,Chui,,KG08,41.2
2019,Chui,,KG08,56.0
2020,Chui,,KG08,54.7
2021,Chui,,KG08,55.28
2000,Bishkek (city),,KG11,68.003731
2001,Bishkek (city),,KG11,85.640504
2002,Bishkek (city),,KG11,68.047002
2003,Bishkek (city),,KG11,65.35321
2004,Bishkek (city),,KG11,47.93348
2005,Bishkek (city),,KG11,48.511241
2006,Bishkek (city),,KG11,37.044933
2007,Bishkek (city),,KG11,40.680531
2008,Bishkek (city),,KG11,39.336853
2009,Bishkek (city),,KG11,35.924393
2010,Bishkek (city),,KG11,39.823376
2011,Bishkek (city),,KG11,49.68253
2012,Bishkek (city),,KG11,63.775511
2013,Bishkek (city),,KG11,43.930005
2014,Bishkek (city),,KG11,54.032632
2015,Bishkek (city),,KG11,65.190118
2016,Bishkek (city),,KG11,49.217
2017,Bishkek (city),,KG11,60.2912
2018,Bishkek (city),,KG11,51.8
2019,Bishkek (city),,KG11,53.7
2020,Bishkek (city),,KG11,51.6
2021,Bishkek (city),,KG11,61.02
2013,Osh (city),,KG21,69.262253
2014,Osh (city),,KG21,67.223461
2015,Osh (city),,KG21,67.700759
2016,Osh (city),,KG21,54.4469
2017,Osh (city),,KG21,72.2366
2018,Osh (city),,KG21,70.1
2019,Osh (city),,KG21,59.3
2020,Osh (city),,KG21,47.2
2021,Osh (city),,KG21,48.72
