Year,SERIES,Value
2007,_L_KG_100301_1A1,3014
2008,_L_KG_100301_1A1,2136
2009,_L_KG_100301_1A1,1742
2010,_L_KG_100301_1A1,1862
2011,_L_KG_100301_1A1,2098
2012,_L_KG_100301_1A1,2843
2013,_L_KG_100301_1A1,2466
2014,_L_KG_100301_1A1,2411
2015,_L_KG_100301_1A1,2483
2016,_L_KG_100301_1A1,3800
2017,_L_KG_100301_1A1,3242
2018,_L_KG_100301_1A1,3237
2007,_L_KG_100301_1A2,619
2010,_L_KG_100301_1A2,309
2011,_L_KG_100301_1A2,196
2012,_L_KG_100301_1A2,501
2013,_L_KG_100301_1A2,384
2015,_L_KG_100301_1A2,374
2016,_L_KG_100301_1A2,615
2017,_L_KG_100301_1A2,531
2018,_L_KG_100301_1A2,376
