Year,REF_AREA,SEX,Value
2010,,,53.8
2013,,,31.2
2014,,,27.4
2015,,,23.5
2016,,,28.4
2017,,,23.0
2018,,,18.6
2019,,,18.446484
2010,,F,13.1
2013,,F,7.4
2014,,F,5.7
2015,,F,5.6
2016,,F,6.4
2017,,F,6.8
2018,,F,4.0
2019,,F,4.918696
2010,,M,95.6
2013,,M,55.6
2014,,M,49.5
2015,,M,41.8
2016,,M,50.8
2017,,M,39.5
2018,,M,33.5
2019,,M,32.182344
2010,KG05,,27.4
2013,KG05,,27.4
2014,KG05,,22.1
2015,KG05,,14.0
2016,KG05,,15.9
2017,KG05,,12.2
2018,KG05,,6.9
2019,KG05,,7.71772
2010,KG05,F,1.9
2013,KG05,F,0.4
2014,KG05,F,0.4
2015,KG05,F,0.8
2016,KG05,F,0.4
2017,KG05,F,0.8
2018,KG05,F,0.8
2019,KG05,F,1.918612
2010,KG05,M,52.2
2013,KG05,M,53.4
2014,KG05,M,43.1
2015,KG05,M,26.7
2016,KG05,M,30.8
2017,KG05,M,23.2
2018,KG05,M,12.9
2019,KG05,M,13.301803
2010,KG03,,17.2
2013,KG03,,14.2
2014,KG03,,14.3
2015,KG03,,10.7
2016,KG03,,10.0
2017,KG03,,9.5
2018,KG03,,6.8
2019,KG03,,4.565495
2010,KG03,F,1.2
2013,KG03,F,0.9
2014,KG03,F,1.4
2015,KG03,F,1.4
2016,KG03,F,1.2
2017,KG03,F,1.7
2018,KG03,F,1.3
2019,KG03,F,0.4923
2010,KG03,M,33.2
2013,KG03,M,27.3
2014,KG03,M,27.1
2015,KG03,M,19.8
2016,KG03,M,18.7
2017,KG03,M,17.2
2018,KG03,M,12.2
2019,KG03,M,8.587057
2010,KG02,,19.0
2013,KG02,,21.5
2014,KG02,,14.3
2015,KG02,,17.6
2016,KG02,,16.5
2017,KG02,,13.3
2018,KG02,,3.7
2019,KG02,,6.086341
2010,KG02,F,3.1
2013,KG02,F,3.0
2014,KG02,F,3.9
2015,KG02,F,8.5
2016,KG02,F,1.7
2017,KG02,F,2.9
2018,KG02,F,1.2
2019,KG02,F,1.21241
2010,KG02,M,35.1
2013,KG02,M,40.2
2014,KG02,M,24.9
2015,KG02,M,26.7
2016,KG02,M,31.4
2017,KG02,M,23.9
2018,KG02,M,6.2
2019,KG02,M,10.999487
2010,KG04,,31.1
2013,KG04,,37.4
2014,KG04,,43.6
2015,KG04,,20.3
2016,KG04,,36.5
2017,KG04,,23.0
2018,KG04,,16.1
2019,KG04,,23.23686
2010,KG04,F,5.4
2013,KG04,F,7.5
2014,KG04,F,11.2
2015,KG04,F,5.1
2016,KG04,F,13.8
2017,KG04,F,9.4
2018,KG04,F,2.1
2019,KG04,F,3.532046
2010,KG04,M,56.0
2013,KG04,M,66.5
2014,KG04,M,75.1
2015,KG04,M,35.0
2016,KG04,M,58.5
2017,KG04,M,36.2
2018,KG04,M,29.6
2019,KG04,M,42.241814
2010,KG06,,35.0
2013,KG06,,27.2
2014,KG06,,24.7
2015,KG06,,29.3
2016,KG06,,25.1
2017,KG06,,26.2
2018,KG06,,23.2
2019,KG06,,20.960059
2010,KG06,F,2.9
2013,KG06,F,3.4
2014,KG06,F,1.3
2015,KG06,F,2.9
2016,KG06,F,3.6
2017,KG06,F,4.2
2018,KG06,F,2.1
2019,KG06,F,1.940293
2010,KG06,M,66.7
2013,KG06,M,50.7
2014,KG06,M,47.7
2015,KG06,M,55.2
2016,KG06,M,46.2
2017,KG06,M,47.8
2018,KG06,M,43.8
2019,KG06,M,39.564585
2010,KG07,,43.0
2013,KG07,,40.2
2014,KG07,,41.6
2015,KG07,,18.9
2016,KG07,,24.5
2017,KG07,,40.1
2018,KG07,,26.0
2019,KG07,,27.882862
2010,KG07,F,2.6
2013,KG07,F,5.0
2014,KG07,F,7.4
2015,KG07,F,4.0
2016,KG07,F,8.0
2017,KG07,F,7.1
2018,KG07,F,3.1
2019,KG07,F,5.334837
2010,KG07,M,83.1
2013,KG07,M,74.9
2014,KG07,M,75.2
2015,KG07,M,33.4
2016,KG07,M,40.7
2017,KG07,M,72.4
2018,KG07,M,48.5
2019,KG07,M,49.93181
2010,KG08,,60.6
2013,KG08,,51.1
2014,KG08,,36.0
2015,KG08,,30.0
2016,KG08,,50.5
2017,KG08,,32.8
2018,KG08,,26.4
2019,KG08,,32.298484
2010,KG08,F,20.1
2013,KG08,F,16.1
2014,KG08,F,10.5
2015,KG08,F,10.5
2016,KG08,F,16.3
2017,KG08,F,12.1
2018,KG08,F,8.2
2019,KG08,F,13.268429
2010,KG08,M,102.6
2013,KG08,M,87.2
2014,KG08,M,62.2
2015,KG08,M,50.1
2016,KG08,M,85.9
2017,KG08,M,54.3
2018,KG08,M,45.1
2019,KG08,M,51.905221
2010,KG11,,164.9
2013,KG11,,44.7
2014,KG11,,40.7
2015,KG11,,36.4
2016,KG11,,48.6
2017,KG11,,35.1
2018,KG11,,29.7
2019,KG11,,29.118376
2010,KG11,F,50.1
2013,KG11,F,19.0
2014,KG11,F,13.1
2015,KG11,F,11.1
2016,KG11,F,10.8
2017,KG11,F,16.5
2018,KG11,F,9.1
2019,KG11,F,9.227646
2010,KG11,M,297.5
2013,KG11,M,74.3
2014,KG11,M,72.3
2015,KG11,M,65.3
2016,KG11,M,91.6
2017,KG11,M,56.3
2018,KG11,M,53.0
2019,KG11,M,51.650669
2010,KG21,,29.9
2013,KG21,,18.3
2014,KG21,,22.0
2015,KG21,,19.8
2016,KG21,,16.9
2017,KG21,,11.6
2018,KG21,,25.2
2019,KG21,,9.477341
2010,KG21,F,4.5
2013,KG21,F,2.9
2014,KG21,F,5.8
2015,KG21,F,2.8
2016,KG21,F,2.1
2017,KG21,F,2.0
2018,KG21,F,4.0
2019,KG21,F,3.171502
2010,KG21,M,57.5
2013,KG21,M,34.8
2014,KG21,M,39.6
2015,KG21,M,38.0
2016,KG21,M,32.7
2017,KG21,M,21.8
2018,KG21,M,47.8
2019,KG21,M,16.179157
