Year,REF_AREA,Value
2007,,29.5
2008,,30.1
2009,,31.2
2010,,34.1
2011,,41.4
2012,,42.1
2013,,41.9
2014,,43.3
2015,,42.3
2016,,38.1
2017,,33.9
2018,,35.9
2019,,37.7
2007,KG05,25.4
2008,KG05,27.2
2009,KG05,30.6
2010,KG05,36.1
2011,KG05,40.2
2012,KG05,44.6
2013,KG05,43.2
2014,KG05,43.3
2015,KG05,38.4
2016,KG05,36.5
2017,KG05,31.2
2018,KG05,30.2
2019,KG05,35.7
2007,KG03,30.1
2008,KG03,33.0
2009,KG03,36.8
2010,KG03,38.8
2011,KG03,47.6
2012,KG03,45.3
2013,KG03,44.8
2014,KG03,47.7
2015,KG03,53.5
2016,KG03,39.3
2017,KG03,34.7
2018,KG03,36.2
2019,KG03,38.0
2007,KG02,27.5
2008,KG02,27.7
2009,KG02,30.0
2010,KG02,30.2
2011,KG02,31.8
2012,KG02,31.8
2013,KG02,31.0
2014,KG02,31.8
2015,KG02,45.4
2016,KG02,32.8
2017,KG02,25.5
2018,KG02,28.8
2019,KG02,25.3
2007,KG04,27.1
2008,KG04,23.1
2009,KG04,30.4
2010,KG04,29.7
2011,KG04,34.3
2012,KG04,33.0
2013,KG04,27.7
2014,KG04,29.2
2015,KG04,30.3
2016,KG04,29.1
2017,KG04,20.2
2018,KG04,22.7
2019,KG04,20.8
2007,KG06,27.1
2008,KG06,27.1
2009,KG06,30.4
2010,KG06,33.0
2011,KG06,43.2
2012,KG06,44.0
2013,KG06,43.4
2014,KG06,45.8
2015,KG06,72.3
2016,KG06,41.6
2017,KG06,38.5
2018,KG06,35.2
2019,KG06,37.9
2007,KG07,39.9
2008,KG07,38.9
2009,KG07,46.4
2010,KG07,48.5
2011,KG07,59.3
2012,KG07,58.8
2013,KG07,61.0
2014,KG07,58.2
2015,KG07,36.4
2016,KG07,41.9
2017,KG07,34.9
2018,KG07,37.1
2019,KG07,34.1
2007,KG08,38.4
2008,KG08,40.1
2009,KG08,39.3
2010,KG08,44.0
2011,KG08,49.1
2012,KG08,50.3
2013,KG08,52.0
2014,KG08,50.8
2015,KG08,59.7
2016,KG08,47.8
2017,KG08,46.4
2018,KG08,52.1
2019,KG08,51.0
2007,KG11,25.9
2008,KG11,24.8
2009,KG11,17.9
2010,KG11,20.4
2011,KG11,25.3
2012,KG11,26.0
2013,KG11,26.6
2014,KG11,26.5
2015,KG11,22.1
2016,KG11,21.4
2017,KG11,17.4
2018,KG11,24.3
2019,KG11,28.9
2007,KG21,24.2
2008,KG21,26.0
2009,KG21,23.9
2010,KG21,27.0
2011,KG21,36.1
2012,KG21,43.9
2013,KG21,46.7
2014,KG21,54.9
2015,KG21,52.8
2016,KG21,52.6
2017,KG21,51.6
2018,KG21,65.0
2019,KG21,77.0
