Year,Территория,GeoCode,Value
2007,,,145.4
2008,,,1235.9
2009,,,74.6
2010,,,516.9
2011,,,939.9
2012,,,924.9
2013,,,220.6
2014,,,455.7
2015,,,2290.6
2016,,,1006.2
2017,,,1027.4
2018,,,1214.6
2019,,,323.8
2020,,,265.8
2021,,,1931.83
2022,,,4599.53
2007,Баткенская область,KG05,17.8
2008,Баткенская область,KG05,130.4
2009,Баткенская область,KG05,25.4
2010,Баткенская область,KG05,26.2
2011,Баткенская область,KG05,551.4
2012,Баткенская область,KG05,267.9
2013,Баткенская область,KG05,4.5
2014,Баткенская область,KG05,41.6
2015,Баткенская область,KG05,588.8
2016,Баткенская область,KG05,376.3
2017,Баткенская область,KG05,135.0
2018,Баткенская область,KG05,189.8
2019,Баткенская область,KG05,22.9
2020,Баткенская область,KG05,75.6
2021,Баткенская область,KG05,1552.9
2022,Баткенская область,KG05,4141.83
2007,Джалал-Абадская область,KG03,66.7
2008,Джалал-Абадская область,KG03,31.0
2009,Джалал-Абадская область,KG03,3.7
2010,Джалал-Абадская область,KG03,305.9
2011,Джалал-Абадская область,KG03,148.6
2012,Джалал-Абадская область,KG03,375.2
2013,Джалал-Абадская область,KG03,38.0
2014,Джалал-Абадская область,KG03,31.2
2015,Джалал-Абадская область,KG03,85.1
2016,Джалал-Абадская область,KG03,232.3
2017,Джалал-Абадская область,KG03,120.1
2018,Джалал-Абадская область,KG03,72.9
2019,Джалал-Абадская область,KG03,168.8
2020,Джалал-Абадская область,KG03,175.1
2021,Джалал-Абадская область,KG03,125.7
2022,Джалал-Абадская область,KG03,148.29
2007,Иссык-Кульская область,KG02,0.5
2008,Иссык-Кульская область,KG02,0.7
2009,Иссык-Кульская область,KG02,9.5
2010,Иссык-Кульская область,KG02,0.6
2011,Иссык-Кульская область,KG02,5.3
2012,Иссык-Кульская область,KG02,40.4
2013,Иссык-Кульская область,KG02,75.2
2014,Иссык-Кульская область,KG02,356.3
2015,Иссык-Кульская область,KG02,7.7
2016,Иссык-Кульская область,KG02,102.7
2017,Иссык-Кульская область,KG02,84.2
2018,Иссык-Кульская область,KG02,74.2
2019,Иссык-Кульская область,KG02,11.1
2020,Иссык-Кульская область,KG02,0.4
2021,Иссык-Кульская область,KG02,99.6
2022,Иссык-Кульская область,KG02,276.97
2007,Нарынская область,KG04,0.6
2008,Нарынская область,KG04,2.8
2009,Нарынская область,KG04,0.6
2010,Нарынская область,KG04,120.1
2011,Нарынская область,KG04,121.0
2012,Нарынская область,KG04,141.3
2013,Нарынская область,KG04,72.2
2014,Нарынская область,KG04,4.3
2015,Нарынская область,KG04,27.8
2016,Нарынская область,KG04,22.3
2017,Нарынская область,KG04,12.8
2018,Нарынская область,KG04,1.4
2020,Нарынская область,KG04,14.6
2021,Нарынская область,KG04,0.9
2022,Нарынская область,KG04,6.89
2007,Ошская область,KG06,6.3
2008,Ошская область,KG06,1024.9
2009,Ошская область,KG06,10.9
2010,Ошская область,KG06,40.5
2011,Ошская область,KG06,105.0
2012,Ошская область,KG06,48.1
2013,Ошская область,KG06,2.9
2014,Ошская область,KG06,1.1
2015,Ошская область,KG06,1364.2
2016,Ошская область,KG06,16.2
2017,Ошская область,KG06,261.8
2018,Ошская область,KG06,12.4
2019,Ошская область,KG06,2.6
2021,Ошская область,KG06,15.9
2022,Ошская область,KG06,23.18
2007,Таласская область,KG07,12.3
2008,Таласская область,KG07,4.4
2009,Таласская область,KG07,24.5
2010,Таласская область,KG07,22.0
2011,Таласская область,KG07,3.0
2012,Таласская область,KG07,49.0
2013,Таласская область,KG07,6.6
2014,Таласская область,KG07,1.1
2015,Таласская область,KG07,8.9
2016,Таласская область,KG07,76.1
2017,Таласская область,KG07,14.7
2018,Таласская область,KG07,0.7
2021,Таласская область,KG07,58.5
2022,Таласская область,KG07,2.25
2007,Чуйская область,KG08,8.4
2010,Чуйская область,KG08,1.7
2011,Чуйская область,KG08,5.6
2012,Чуйская область,KG08,1.7
2013,Чуйская область,KG08,14.1
2014,Чуйская область,KG08,20.0
2015,Чуйская область,KG08,24.4
2016,Чуйская область,KG08,93.2
2017,Чуйская область,KG08,207.5
2018,Чуйская область,KG08,6.1
2019,Чуйская область,KG08,2.0
2020,Чуйская область,KG08,2.0
2021,Чуйская область,KG08,0.01
2022,Чуйская область,KG08,78.3
2007,г. Бишкек,KG11,32.2
2008,г. Бишкек,KG11,41.5
2013,г. Бишкек,KG11,0.7
2015,г. Бишкек,KG11,44.7
2016,г. Бишкек,KG11,86.8
2017,г. Бишкек,KG11,129.8
2018,г. Бишкек,KG11,856.9
2019,г. Бишкек,KG11,116.0
2007,г. Ош,KG21,0.7
2008,г. Ош,KG21,0.2
2012,г. Ош,KG21,1.1
2013,г. Ош,KG21,6.3
2015,г. Ош,KG21,139.1
2016,г. Ош,KG21,0.3
2017,г. Ош,KG21,61.5
2019,г. Ош,KG21,0.4
2022,г. Ош,KG21,0.11
