Year,Показатель,Value
2013,"Доля важных объектов биологического разнообразия районов суши и пресноводных районов, охваченных охраняемыми районами",6.01
2014,"Доля важных объектов биологического разнообразия районов суши и пресноводных районов, охваченных охраняемыми районами",6.01
2015,"Доля важных объектов биологического разнообразия районов суши и пресноводных районов, охваченных охраняемыми районами",6.01
2016,"Доля важных объектов биологического разнообразия районов суши и пресноводных районов, охваченных охраняемыми районами",7.3
2017,"Доля важных объектов биологического разнообразия районов суши и пресноводных районов, охваченных охраняемыми районами",7.38
2018,"Доля важных объектов биологического разнообразия районов суши и пресноводных районов, охваченных охраняемыми районами",7.38
