Year,Вид экономической деятельности,Value
2008,,866200.6
2009,,660949.3
2010,,666086.0
2011,,849201.1
2012,,590733.3
2013,,964507.1
2014,,727091.2
2015,,1573243.7
2016,,813960.7
2017,,616793.1
2018,,851743.6
2008,"Сельское хозяйство, лесоводство и рыболовство",583.5904
2009,"Сельское хозяйство, лесоводство и рыболовство",17.6
2010,"Сельское хозяйство, лесоводство и рыболовство",2.7
2011,"Сельское хозяйство, лесоводство и рыболовство",3.5
2012,"Сельское хозяйство, лесоводство и рыболовство",2045.7
2013,"Сельское хозяйство, лесоводство и рыболовство",345.0
2015,"Сельское хозяйство, лесоводство и рыболовство",316.2
2016,"Сельское хозяйство, лесоводство и рыболовство",210.9
2017,"Сельское хозяйство, лесоводство и рыболовство",21.8
2018,"Сельское хозяйство, лесоводство и рыболовство",2327.6
2008,Горнодобывающая промышленность и разработка карьеров,7500.0
2009,Горнодобывающая промышленность и разработка карьеров,6375.7
2010,Горнодобывающая промышленность и разработка карьеров,1028.4
2011,Горнодобывающая промышленность и разработка карьеров,26460.8
2012,Горнодобывающая промышленность и разработка карьеров,25677.7
2013,Горнодобывающая промышленность и разработка карьеров,23151.8
2014,Горнодобывающая промышленность и разработка карьеров,74973.3
2015,Горнодобывающая промышленность и разработка карьеров,14727.5
2016,Горнодобывающая промышленность и разработка карьеров,54302.3
2017,Горнодобывающая промышленность и разработка карьеров,80995.2
2018,Горнодобывающая промышленность и разработка карьеров,91845.7
2008,Обрабатывающая промышленность,237437.7
2009,Обрабатывающая промышленность,153569.3
2010,Обрабатывающая промышленность,331386.7
2011,Обрабатывающая промышленность,489551.4
2012,Обрабатывающая промышленность,257259.1
2013,Обрабатывающая промышленность,317742.6
2014,Обрабатывающая промышленность,271250.0
2015,Обрабатывающая промышленность,564715.3
2016,Обрабатывающая промышленность,251234.3
2017,Обрабатывающая промышленность,186333.7
2018,Обрабатывающая промышленность,376441.7
2010,"Снабжение электричеством, газом, паром и кондиционированным воздухом",20.5
2012,"Снабжение электричеством, газом, паром и кондиционированным воздухом",15.1
2013,"Снабжение электричеством, газом, паром и кондиционированным воздухом",16200.5
2014,"Снабжение электричеством, газом, паром и кондиционированным воздухом",43580.9
2015,"Снабжение электричеством, газом, паром и кондиционированным воздухом",136704.8
2016,"Снабжение электричеством, газом, паром и кондиционированным воздухом",122246.9
2017,"Снабжение электричеством, газом, паром и кондиционированным воздухом",79828.6
2018,"Снабжение электричеством, газом, паром и кондиционированным воздухом",15830.6
2008,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",1282.893
2009,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",311.0
2010,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",17.0
2011,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",23.9
2012,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",29.6
2013,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",158.6
2014,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",31.5
2018,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",3.8
2008,Строительство,48949.5
2009,Строительство,21396.9
2010,Строительство,12908.2
2011,Строительство,6404.9
2012,Строительство,27832.6
2013,Строительство,15504.6
2014,Строительство,20045.5
2015,Строительство,107007.6
2016,Строительство,25385.8
2017,Строительство,3070.6
2018,Строительство,71859.5
2008,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,56200.3
2009,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,52960.3
2010,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,53484.3
2011,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,64982.6
2012,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,32625.9
2013,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,66575.3
2014,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,37620.0
2015,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,64832.3
2016,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,13231.0
2017,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,30550.6
2018,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,34533.2
2008,Транспорт и складское хозяйство,15126.3
2009,Транспорт и складское хозяйство,8775.8
2010,Транспорт и складское хозяйство,12167.0
2011,Транспорт и складское хозяйство,36623.8
2012,Транспорт и складское хозяйство,6449.1
2013,Транспорт и складское хозяйство,10062.1
2014,Транспорт и складское хозяйство,6042.6
2015,Транспорт и складское хозяйство,2551.5
2016,Транспорт и складское хозяйство,18.2
2017,Транспорт и складское хозяйство,104.8
2018,Транспорт и складское хозяйство,8726.8
2008,Размещение и общественное питание,2386.663
2009,Размещение и общественное питание,4782.8
2010,Размещение и общественное питание,8158.1
2011,Размещение и общественное питание,4010.7
2012,Размещение и общественное питание,1759.8
2013,Размещение и общественное питание,473.6
2014,Размещение и общественное питание,219.3
2015,Размещение и общественное питание,38.4
2016,Размещение и общественное питание,2102.5
2017,Размещение и общественное питание,2624.7
2018,Размещение и общественное питание,638.2
2008,Информация и связь,2449.8
2009,Информация и связь,13580.1
2010,Информация и связь,922.5
2011,Информация и связь,3243.4
2012,Информация и связь,2642.0
2013,Информация и связь,3235.3
2014,Информация и связь,13168.7
2015,Информация и связь,5699.3
2016,Информация и связь,1251.0
2017,Информация и связь,14422.4
2018,Информация и связь,52603.8
2008,Финансовая деятельность и страхование,347140.38899999997
2009,Финансовая деятельность и страхование,250155.9
2010,Финансовая деятельность и страхование,34882.2
2011,Финансовая деятельность и страхование,48145.0
2012,Финансовая деятельность и страхование,42233.9
2013,Финансовая деятельность и страхование,99847.3
2014,Финансовая деятельность и страхование,28495.0
2015,Финансовая деятельность и страхование,411883.8
2016,Финансовая деятельность и страхование,178724.5
2017,Финансовая деятельность и страхование,81475.8
2018,Финансовая деятельность и страхование,53939.5
2010,Операции с недвижимым имуществом,314.1
2011,Операции с недвижимым имуществом,241.2
2012,Операции с недвижимым имуществом,3961.3
2013,Операции с недвижимым имуществом,2567.9
2014,Операции с недвижимым имуществом,3071.3
2015,Операции с недвижимым имуществом,2845.7
2016,Операции с недвижимым имуществом,216.8
2017,Операции с недвижимым имуществом,1.1
2018,Операции с недвижимым имуществом,729.6
2008,"Профессиональная, научная и техническая деятельность",146708.1692
2009,"Профессиональная, научная и техническая деятельность",148003.4
2010,"Профессиональная, научная и техническая деятельность",210779.0
2011,"Профессиональная, научная и техническая деятельность",169475.1
2012,"Профессиональная, научная и техническая деятельность",186849.8
2013,"Профессиональная, научная и техническая деятельность",403375.4
2014,"Профессиональная, научная и техническая деятельность",228570.3
2015,"Профессиональная, научная и техническая деятельность",261903.2
2016,"Профессиональная, научная и техническая деятельность",164965.9
2017,"Профессиональная, научная и техническая деятельность",132449.4
2018,"Профессиональная, научная и техническая деятельность",142129.0
2008,Деятельность в сфере административных и вспомогательных услуг,0.2841
2009,Деятельность в сфере административных и вспомогательных услуг,9.3
2010,Деятельность в сфере административных и вспомогательных услуг,2.4
2011,Деятельность в сфере административных и вспомогательных услуг,1.7
2012,Деятельность в сфере административных и вспомогательных услуг,1083.0
2013,Деятельность в сфере административных и вспомогательных услуг,17.1
2014,Деятельность в сфере административных и вспомогательных услуг,11.1
2015,Деятельность в сфере административных и вспомогательных услуг,0.8
2016,Деятельность в сфере административных и вспомогательных услуг,65.4
2017,Деятельность в сфере административных и вспомогательных услуг,123.3
2018,Деятельность в сфере административных и вспомогательных услуг,76.1
2008,Образование,0.3
2009,Образование,139.3
2010,Образование,12.9
2013,Образование,5009.5
2014,Образование,11.7
2015,Образование,17.3
2016,Образование,5.2
2017,Образование,6.1
2008,Деятельность в сфере здравоохранения и социальных услуг,397.7
2009,Деятельность в сфере здравоохранения и социальных услуг,395.3
2012,Деятельность в сфере здравоохранения и социальных услуг,127.2
2017,Деятельность в сфере здравоохранения и социальных услуг,73.0
2018,Деятельность в сфере здравоохранения и социальных услуг,8.1
2008,"Искусство, сфера развлечений и отдыха",37.0393
2009,"Искусство, сфера развлечений и отдыха",476.6
2011,"Искусство, сфера развлечений и отдыха",33.1
2012,"Искусство, сфера развлечений и отдыха",141.5
2013,"Искусство, сфера развлечений и отдыха",240.4
2017,"Искусство, сфера развлечений и отдыха",4712.0
2013,Прочие виды деятельности в сфере услуг,0.1
2018,Прочие виды деятельности в сфере услуг,50.4
