Year,COMPOSITE_BREAKDOWN,Value
2013,Виды: Млекопитающие,14.3
2014,Виды: Млекопитающие,15.4
2015,Виды: Млекопитающие,12.1
2016,Виды: Млекопитающие,14.3
2017,Виды: Млекопитающие,9.9
2018,Виды: Млекопитающие,9.9
2019,Виды: Млекопитающие,4.4
2020,Виды: Млекопитающие,5.9
2013,Виды: Птицы,2.0
2014,Виды: Птицы,3.7
2015,Виды: Птицы,3.7
2016,Виды: Птицы,2.2
2017,Виды: Птицы,2.7
2018,Виды: Птицы,2.5
2019,Виды: Птицы,1.72
2020,Виды: Птицы,1.5
2013,Виды: Амфибии и рептилии,8.7
2015,Виды: Амфибии и рептилии,2.2
2016,Виды: Амфибии и рептилии,2.2
2018,Виды: Амфибии и рептилии,2.2
