Year,Территория,GeoCode,Value
2011,,,5
2012,,,6
2013,,,9
2014,,,19
2015,,,8
2016,,,10
2017,,,5
2018,,,8
2019,,,5
2020,,,2
2021,,,2
2012,Баткенская область,KG05,1
2013,Баткенская область,KG05,2
2014,Баткенская область,KG05,1
2013,Джалал-Абадская область,KG03,1
2014,Джалал-Абадская область,KG03,1
2015,Джалал-Абадская область,KG03,1
2021,Джалал-Абадская область,KG03,1
2013,Иссык-Кульская область,KG02,1
2014,Иссык-Кульская область,KG02,1
2015,Нарынская область,KG04,1
2019,Нарынская область,KG04,1
2013,Ошская область,KG06,1
2014,Ошская область,KG06,6
2017,Ошская область,KG06,2
2018,Ошская область,KG06,1
2020,Ошская область,KG06,1
2019,Таласская область,KG07,1
2012,Чуйская область,KG08,2
2013,Чуйская область,KG08,3
2014,Чуйская область,KG08,3
2015,Чуйская область,KG08,3
2016,Чуйская область,KG08,6
2017,Чуйская область,KG08,3
2021,Чуйская область,KG08,1
2012,г. Бишкек,KG11,3
2014,г. Бишкек,KG11,2
2015,г. Бишкек,KG11,1
2016,г. Бишкек,KG11,4
2018,г. Бишкек,KG11,7
2019,г. Бишкек,KG11,2
2020,г. Бишкек,KG11,1
2011,г. Ош,KG21,5
2013,г. Ош,KG21,1
2014,г. Ош,KG21,5
2015,г. Ош,KG21,2
2019,г. Ош,KG21,1
