Year,concept.REF_AREA,concept.URBANISATION,Value
2013,,,17.5
2014,,,19.5
2015,,,19.9
2016,,,22.1
2017,,,23.5
2013,,Городское,31.6
2014,,Городское,32.3
2015,,Городское,31.1
2016,,Городское,32.3
2017,,Городское,34.2
2013,,Региональный ,10.8
2014,,Региональный ,13.2
2015,,Региональный ,14.2
2016,,Региональный ,16.6
2017,,Региональный ,17.9
2013,Баткен,,16.1
2014,Баткен,,19.6
2015,Баткен,,20.6
2016,Баткен,,23.9
2017,Баткен,,25.8
2013,Баткен,Городское,33.3
2014,Баткен,Городское,33.1
2015,Баткен,Городское,30.5
2016,Баткен,Городское,32.8
2017,Баткен,Городское,33.2
2013,Баткен,Региональный ,10.2
2014,Баткен,Региональный ,14.6
2015,Баткен,Региональный ,16.7
2016,Баткен,Региональный ,20.5
2017,Баткен,Региональный ,23.0
2013,Джалал-Абадская область,,15.2
2014,Джалал-Абадская область,,15.5
2015,Джалал-Абадская область,,16.1
2016,Джалал-Абадская область,,18.7
2017,Джалал-Абадская область,,20.2
2013,Джалал-Абадская область,Городское,27.4
2014,Джалал-Абадская область,Городское,28.5
2015,Джалал-Абадская область,Городское,28.4
2016,Джалал-Абадская область,Городское,30.6
2017,Джалал-Абадская область,Городское,32.8
2013,Джалал-Абадская область,Региональный ,10.3
2014,Джалал-Абадская область,Региональный ,11.8
2015,Джалал-Абадская область,Региональный ,12.6
2016,Джалал-Абадская область,Региональный ,15.1
2017,Джалал-Абадская область,Региональный ,16.5
2013,Иссык-Кульская область,,17.4
2014,Иссык-Кульская область,,18.8
2015,Иссык-Кульская область,,20.9
2016,Иссык-Кульская область,,24.1
2017,Иссык-Кульская область,,25.8
2013,Иссык-Кульская область,Городское,34.2
2014,Иссык-Кульская область,Городское,33.3
2015,Иссык-Кульская область,Городское,34.6
2016,Иссык-Кульская область,Городское,38.8
2017,Иссык-Кульская область,Городское,41.1
2013,Иссык-Кульская область,Региональный ,9.4
2014,Иссык-Кульская область,Региональный ,11.1
2015,Иссык-Кульская область,Региональный ,12.8
2016,Иссык-Кульская область,Региональный ,15.8
2017,Иссык-Кульская область,Региональный ,17.7
2013,Нарынская область,,19.6
2014,Нарынская область,,25.7
2015,Нарынская область,,22.3
2016,Нарынская область,,26.6
2017,Нарынская область,,31.6
2013,Нарынская область,Городское,32.6
2014,Нарынская область,Городское,36.8
2015,Нарынская область,Городское,17.2
2016,Нарынская область,Городское,39.7
2017,Нарынская область,Городское,44.8
2013,Нарынская область,Региональный ,17.5
2014,Нарынская область,Региональный ,23.7
2015,Нарынская область,Региональный ,9.8
2016,Нарынская область,Региональный ,24.3
2017,Нарынская область,Региональный ,29.2
2013,Ошская область,,11.6
2014,Ошская область,,13.1
2015,Ошская область,,14.3
2016,Ошская область,,16.3
2017,Ошская область,,17.2
2013,Ошская область,Городское,15.0
2014,Ошская область,Городское,16.4
2015,Ошская область,Городское,15.2
2016,Ошская область,Городское,18.1
2017,Ошская область,Городское,17.7
2013,Ошская область,Региональный ,11.4
2014,Ошская область,Региональный ,12.9
2015,Ошская область,Региональный ,14.2
2016,Ошская область,Региональный ,16.2
2017,Ошская область,Региональный ,17.2
2013,Таласская область,,14.4
2014,Таласская область,,17.0
2015,Таласская область,,20.6
2016,Таласская область,,20.8
2017,Таласская область,,22.2
2013,Таласская область,Городское,49.4
2014,Таласская область,Городское,58.4
2015,Таласская область,Городское,66.1
2016,Таласская область,Городское,65.6
2017,Таласская область,Городское,67.1
2013,Таласская область,Региональный ,10.3
2014,Таласская область,Региональный ,12.3
2015,Таласская область,Региональный ,15.8
2016,Таласская область,Региональный ,16.0
2017,Таласская область,Региональный ,17.3
2013,Чуй,,12.5
2014,Чуй,,16.0
2015,Чуй,,16.5
2016,Чуй,,18.5
2017,Чуй,,19.3
2013,Чуй,Городское,24.3
2014,Чуй,Городское,27.6
2015,Чуй,Городское,26.3
2016,Чуй,Городское,30.0
2017,Чуй,Городское,32.3
2013,Чуй,Региональный ,9.3
2014,Чуй,Региональный ,12.6
2015,Чуй,Региональный ,13.3
2016,Чуй,Региональный ,14.9
2017,Чуй,Региональный ,15.5
2013,Бишкек (город),Городское,31.0
2014,Бишкек (город),Городское,29.4
2015,Бишкек (город),Городское,27.9
2016,Бишкек (город),Городское,28.0
2017,Бишкек (город),Городское,29.6
2013,г. Ош,Городское,41.9
2014,г. Ош,Городское,49.7
2015,г. Ош,Городское,48.2
2016,г. Ош,Городское,49.4
2017,г. Ош,Городское,47.9
