Year,Множитель,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2014,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Водный,Метрические тонны,15.0
2015,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Водный,Метрические тонны,12.2
2016,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Водный,Метрические тонны,2.6
2007,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,0.6
2008,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,0.9
2009,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,0.9
2010,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,1.0
2011,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,1.3
2012,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,0.7
2013,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,0.5
2014,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,0.2
2015,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,0.2
2016,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,0.1
2017,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,0.3
2018,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,1.0
2019,Тысячи,Объем грузовых перевозок (тонн-километров),Вид транспорта: Воздушный,Метрические тонны,0.0
