Year,Территория,GeoCode,Value
2007,,,131.547158
2008,,,120.913387
2009,,,92.628335
2010,,,127.019995
2011,,,103.485746
2012,,,104.494474
2013,,,101.769602
2014,,,113.857081
2015,,,95.794976
2016,,,94.980194
2017,,,102.713332
2018,,,97.394314
2019,,,105.744831
2020,,,117.60685
2021,,,113.348489
2022,,,115.8
2007,Баткенская область,KG05,129.740223
2008,Баткенская область,KG05,122.152556
2009,Баткенская область,KG05,98.079552
2010,Баткенская область,KG05,134.872599
2011,Баткенская область,KG05,108.143261
2012,Баткенская область,KG05,104.669453
2013,Баткенская область,KG05,103.067841
2014,Баткенская область,KG05,113.826871
2015,Баткенская область,KG05,92.841081
2016,Баткенская область,KG05,95.516291
2017,Баткенская область,KG05,104.587578
2018,Баткенская область,KG05,94.575897
2019,Баткенская область,KG05,110.412587
2020,Баткенская область,KG05,114.773198
2021,Баткенская область,KG05,115.060694
2022,Баткенская область,KG05,115.2
2007,Джалал-Абадская область,KG03,131.474644
2008,Джалал-Абадская область,KG03,133.108773
2009,Джалал-Абадская область,KG03,94.285732
2010,Джалал-Абадская область,KG03,133.48734
2011,Джалал-Абадская область,KG03,105.19525
2012,Джалал-Абадская область,KG03,104.995426
2013,Джалал-Абадская область,KG03,103.702848
2014,Джалал-Абадская область,KG03,118.268743
2015,Джалал-Абадская область,KG03,94.347779
2016,Джалал-Абадская область,KG03,95.233819
2017,Джалал-Абадская область,KG03,103.296213
2018,Джалал-Абадская область,KG03,99.437848
2019,Джалал-Абадская область,KG03,106.897463
2020,Джалал-Абадская область,KG03,116.40044
2021,Джалал-Абадская область,KG03,114.296585
2022,Джалал-Абадская область,KG03,115.4
2007,Иссык-Кульская область,KG02,136.022851
2008,Иссык-Кульская область,KG02,116.499725
2009,Иссык-Кульская область,KG02,90.4746
2010,Иссык-Кульская область,KG02,126.103007
2011,Иссык-Кульская область,KG02,99.413814
2012,Иссык-Кульская область,KG02,105.487767
2013,Иссык-Кульская область,KG02,96.74539
2014,Иссык-Кульская область,KG02,119.674506
2015,Иссык-Кульская область,KG02,92.938571
2016,Иссык-Кульская область,KG02,97.869284
2017,Иссык-Кульская область,KG02,103.318964
2018,Иссык-Кульская область,KG02,97.328443
2019,Иссык-Кульская область,KG02,106.659795
2020,Иссык-Кульская область,KG02,117.538285
2021,Иссык-Кульская область,KG02,113.757618
2022,Иссык-Кульская область,KG02,111.8
2007,Нарынская область,KG04,129.698247
2008,Нарынская область,KG04,110.814902
2009,Нарынская область,KG04,92.921575
2010,Нарынская область,KG04,133.150078
2011,Нарынская область,KG04,103.232521
2012,Нарынская область,KG04,107.926877
2013,Нарынская область,KG04,98.290589
2014,Нарынская область,KG04,114.563967
2015,Нарынская область,KG04,98.213637
2016,Нарынская область,KG04,94.459452
2017,Нарынская область,KG04,100.774043
2018,Нарынская область,KG04,101.660059
2019,Нарынская область,KG04,106.016926
2020,Нарынская область,KG04,117.422067
2021,Нарынская область,KG04,113.982641
2022,Нарынская область,KG04,116.8
2007,Ошская область,KG06,130.503251
2008,Ошская область,KG06,132.389129
2009,Ошская область,KG06,91.207604
2010,Ошская область,KG06,133.714976
2011,Ошская область,KG06,103.635522
2012,Ошская область,KG06,106.985188
2013,Ошская область,KG06,104.5544
2014,Ошская область,KG06,118.553298
2015,Ошская область,KG06,93.999692
2016,Ошская область,KG06,94.914537
2017,Ошская область,KG06,109.47206
2018,Ошская область,KG06,96.104604
2019,Ошская область,KG06,107.312397
2020,Ошская область,KG06,113.98327
2021,Ошская область,KG06,113.927206
2022,Ошская область,KG06,108.2
2007,Таласская область,KG07,131.559431
2008,Таласская область,KG07,117.520012
2009,Таласская область,KG07,90.950636
2010,Таласская область,KG07,123.024848
2011,Таласская область,KG07,105.793162
2012,Таласская область,KG07,102.033354
2013,Таласская область,KG07,100.612627
2014,Таласская область,KG07,116.089417
2015,Таласская область,KG07,93.146935
2016,Таласская область,KG07,92.497165
2017,Таласская область,KG07,104.166923
2018,Таласская область,KG07,96.802565
2019,Таласская область,KG07,106.172057
2020,Таласская область,KG07,123.488979
2021,Таласская область,KG07,114.172267
2022,Таласская область,KG07,111.0
2007,Чуйская область,KG08,130.314372
2008,Чуйская область,KG08,123.411415
2009,Чуйская область,KG08,94.365695
2010,Чуйская область,KG08,128.672851
2011,Чуйская область,KG08,102.493938
2012,Чуйская область,KG08,103.92528
2013,Чуйская область,KG08,102.312574
2014,Чуйская область,KG08,114.643974
2015,Чуйская область,KG08,95.710818
2016,Чуйская область,KG08,95.89276
2017,Чуйская область,KG08,102.559508
2018,Чуйская область,KG08,96.302209
2019,Чуйская область,KG08,105.8531
2020,Чуйская область,KG08,118.123403
2021,Чуйская область,KG08,114.451539
2022,Чуйская область,KG08,115.8
2007,г. Бишкек,KG11,131.950406
2008,г. Бишкек,KG11,117.83137
2009,г. Бишкек,KG11,92.340833
2010,г. Бишкек,KG11,123.722482
2011,г. Бишкек,KG11,103.406938
2012,г. Бишкек,KG11,103.832086
2013,г. Бишкек,KG11,101.221964
2014,г. Бишкек,KG11,110.997582
2015,г. Бишкек,KG11,97.00121
2016,г. Бишкек,KG11,94.519576
2017,г. Бишкек,KG11,101.578366
2018,г. Бишкек,KG11,97.346546
2019,г. Бишкек,KG11,105.61571
2020,г. Бишкек,KG11,118.870598
2021,г. Бишкек,KG11,112.694934
2022,г. Бишкек,KG11,117.9
2007,г. Ош,KG21,130.503251
2008,г. Ош,KG21,132.389129
2009,г. Ош,KG21,91.207604
2010,г. Ош,KG21,133.714976
2011,г. Ош,KG21,103.635522
2012,г. Ош,KG21,106.985188
2013,г. Ош,KG21,104.5544
2014,г. Ош,KG21,118.553298
2015,г. Ош,KG21,93.999692
2016,г. Ош,KG21,94.914537
2017,г. Ош,KG21,103.95699
2018,г. Ош,KG21,98.011361
2019,г. Ош,KG21,102.470488
2020,г. Ош,KG21,114.063771
2021,г. Ош,KG21,113.950677
2022,г. Ош,KG21,112.4
