Year,Units,Value
2010,Число,18
2011,Число,18
2012,Число,19
2013,Число,19
2014,Число,21
2015,Число,22
2016,Число,24
2017,Число,23
2018,Число,22
2010,Местная валюта,4772
2011,Местная валюта,2929
2012,Местная валюта,3378
2013,Местная валюта,4054
2014,Местная валюта,10032
2015,Местная валюта,9670
2016,Местная валюта,9213
2017,Местная валюта,10044
2018,Местная валюта,10927
