Year,Территория,Тип местности,Value
2013,,,17.5
2014,,,19.5
2015,,,19.9
2016,,,22.1
2017,,,23.5
2018,,,24.6
2019,,,25.4
2020,,,22.0
2013,,Городская,31.6
2014,,Городская,32.3
2015,,Городская,31.1
2016,,Городская,32.3
2017,,Городская,34.2
2018,,Городская,34.6
2019,,Городская,34.5
2020,,Городская,29.1
2013,,Сельская,10.8
2014,,Сельская,13.2
2015,,Сельская,14.2
2016,,Сельская,16.6
2017,,Сельская,17.9
2018,,Сельская,19.3
2019,,Сельская,20.6
2020,,Сельская,20.2
2013,Баткенская область,,16.1
2014,Баткенская область,,19.6
2015,Баткенская область,,20.6
2016,Баткенская область,,23.9
2017,Баткенская область,,25.8
2018,Баткенская область,,26.3
2019,Баткенская область,,28.5
2020,Баткенская область,,26.8
2013,Баткенская область,Городская,33.3
2014,Баткенская область,Городская,33.1
2015,Баткенская область,Городская,30.5
2016,Баткенская область,Городская,32.8
2017,Баткенская область,Городская,33.2
2018,Баткенская область,Городская,34.0
2019,Баткенская область,Городская,42.7
2020,Баткенская область,Городская,39.8
2013,Баткенская область,Сельская,10.2
2014,Баткенская область,Сельская,14.6
2015,Баткенская область,Сельская,16.7
2016,Баткенская область,Сельская,20.5
2017,Баткенская область,Сельская,23.0
2018,Баткенская область,Сельская,23.3
2019,Баткенская область,Сельская,23.8
2020,Баткенская область,Сельская,22.7
2013,Джалал-Абадская область,,15.2
2014,Джалал-Абадская область,,15.5
2015,Джалал-Абадская область,,16.1
2016,Джалал-Абадская область,,18.7
2017,Джалал-Абадская область,,20.2
2018,Джалал-Абадская область,,21.8
2019,Джалал-Абадская область,,23.0
2020,Джалал-Абадская область,,22.0
2013,Джалал-Абадская область,Городская,27.4
2014,Джалал-Абадская область,Городская,28.5
2015,Джалал-Абадская область,Городская,28.4
2016,Джалал-Абадская область,Городская,30.6
2017,Джалал-Абадская область,Городская,32.8
2018,Джалал-Абадская область,Городская,35.0
