Year,Территория,Value
2015,,10.810627
2016,,16.102629
2017,,20.2
2018,,12.4
2015,Баткен,34.216964000000004
2016,Баткен,51.971709999999995
2017,Баткен,50.7
2018,Баткен,44.9
2015,Джалал-Абадская область,30.828434
2016,Джалал-Абадская область,35.669135
2017,Джалал-Абадская область,31.6
2018,Джалал-Абадская область,28.9
2015,Иссык-Кульская область,-8.771443
2016,Иссык-Кульская область,19.590714000000002
2017,Иссык-Кульская область,25.6
2018,Иссык-Кульская область,16.6
2015,Нарынская область,-5.438854
2016,Нарынская область,-3.7005510000000004
2017,Нарынская область,16.3
2018,Нарынская область,5.4
2015,Ошская область,18.022223
2016,Ошская область,0.07912999999999999
2017,Ошская область,16.9
2018,Ошская область,5.4
2015,Таласская область,16.930726999999997
2016,Таласская область,15.126176999999998
2017,Таласская область,17.2
2018,Таласская область,24.8
2015,Чуй,25.703179000000002
2016,Чуй,26.618610999999998
2017,Чуй,28.8
2018,Чуй,16.2
2015,Бишкек (город),-9.015999
2016,Бишкек (город),-11.403692999999999
2017,Бишкек (город),-3.4
2018,Бишкек (город),-12.8
2015,г. Ош,10.609517
2016,г. Ош,25.440447
2017,г. Ош,37.2
2018,г. Ош,39.6
