Year,Территория,Value
2007,,19.5
2008,,18.6
2009,,18.6
2010,,18.5
2011,,19.0
2012,,18.5
2013,,17.9
2014,,17.3
2015,,17.1
2016,,16.6
2017,,16.8
2018,,16.6
2007,Баткен,2.109664
2008,Баткен,1.9341279999999998
2009,Баткен,1.92383
2010,Баткен,1.8744439999999998
2011,Баткен,1.930035
2012,Баткен,1.8456240000000002
2013,Баткен,1.795079
2014,Баткен,1.762407
2015,Баткен,1.659097
2016,Баткен,1.495586
2017,Баткен,1.484306
2018,Баткен,1.525503
2007,Джалал-Абадская область,4.616846
2008,Джалал-Абадская область,4.193013
2009,Джалал-Абадская область,4.11681
2010,Джалал-Абадская область,4.091247
2011,Джалал-Абадская область,4.27976
2012,Джалал-Абадская область,4.13553
2013,Джалал-Абадская область,4.101223
2014,Джалал-Абадская область,3.951307
2015,Джалал-Абадская область,3.8641379999999996
2016,Джалал-Абадская область,3.7465230000000003
2017,Джалал-Абадская область,3.7927160000000004
2018,Джалал-Абадская область,3.8041160000000005
2007,Иссык-Кульская область,1.5049270000000001
2008,Иссык-Кульская область,1.39314
2009,Иссык-Кульская область,1.390619
2010,Иссык-Кульская область,1.4328299999999998
2011,Иссык-Кульская область,1.496891
2012,Иссык-Кульская область,1.460728
2013,Иссык-Кульская область,1.4106809999999999
2014,Иссык-Кульская область,1.3973389999999999
2015,Иссык-Кульская область,1.3666129999999999
2016,Иссык-Кульская область,1.391437
2017,Иссык-Кульская область,1.400236
2018,Иссык-Кульская область,1.390469
2007,Нарынская область,1.671366
2008,Нарынская область,1.457214
2009,Нарынская область,1.423568
2010,Нарынская область,1.503572
2011,Нарынская область,1.575064
2012,Нарынская область,1.53011
2013,Нарынская область,1.430693
2014,Нарынская область,1.366601
2015,Нарынская область,1.342043
2016,Нарынская область,1.284926
2017,Нарынская область,1.2882930000000001
2018,Нарынская область,1.232146
2007,Ошская область,4.940158
2008,Ошская область,4.693844
2009,Ошская область,4.778368
2010,Ошская область,4.700996
2011,Ошская область,4.715643
2012,Ошская область,4.506557
2013,Ошская область,4.296044
2014,Ошская область,4.013868
2015,Ошская область,4.015779
2016,Ошская область,3.788525
2017,Ошская область,3.868011
2018,Ошская область,3.639299
2007,Таласская область,0.73051
2008,Таласская область,0.843038
2009,Таласская область,0.8163279999999999
2010,Таласская область,0.784158
2011,Таласская область,0.8255049999999999
2012,Таласская область,0.806951
2013,Таласская область,0.784064
2014,Таласская область,0.7721720000000001
2015,Таласская область,0.795667
2016,Таласская область,0.823182
2017,Таласская область,0.8582280000000001
2018,Таласская область,0.833649
2007,Чуй,1.9582990000000002
2008,Чуй,1.9942509999999998
2009,Чуй,1.9394369999999999
2010,Чуй,1.9224849999999998
2011,Чуй,1.949861
2012,Чуй,1.969888
2013,Чуй,1.9161540000000001
2014,Чуй,1.902321
2015,Чуй,1.9056959999999998
2016,Чуй,1.915556
2017,Чуй,1.9093200000000001
2018,Чуй,1.9317
2007,Бишкек (город),1.509824
2008,Бишкек (город),1.7903830000000003
2009,Бишкек (город),1.7625520000000001
2010,Бишкек (город),1.7552740000000002
2011,Бишкек (город),1.761641
2012,Бишкек (город),1.7988119999999999
2013,Бишкек (город),1.7537740000000002
2014,Бишкек (город),1.74105
2015,Бишкек (город),1.736014
2016,Бишкек (город),1.742989
2017,Бишкек (город),1.7667380000000001
2018,Бишкек (город),1.7700599999999997
2007,г. Ош,0.49289499999999997
2008,г. Ош,0.48253
2009,г. Ош,0.46367600000000003
2010,г. Ош,0.473654
2011,г. Ош,0.470606
2012,г. Ош,0.46085200000000004
2013,г. Ош,0.454024
2014,г. Ош,0.45231099999999996
2015,г. Ош,0.452797
2016,г. Ош,0.445767
2017,г. Ош,0.44659099999999996
2018,г. Ош,0.455388
