Year,Территория,GeoCode,Value
2007,,,4.3
2008,,,4.0
2009,,,3.2
2010,,,2.5
2011,,,3.2
2012,,,2.8
2013,,,1.8
2014,,,1.7
2015,,,1.9
2016,,,1.3
2017,,,1.2
2018,,,0.8
2019,,,0.9
2020,,,0.7
2021,,,1.0
2007,Баткенская область,KG05,11.4
2008,Баткенская область,KG05,11.5
2009,Баткенская область,KG05,8.1
2010,Баткенская область,KG05,7.8
2011,Баткенская область,KG05,11.0
2012,Баткенская область,KG05,5.3
2013,Баткенская область,KG05,6.7
2014,Баткенская область,KG05,7.6
2015,Баткенская область,KG05,5.3
2016,Баткенская область,KG05,3.6
2017,Баткенская область,KG05,3.1
2018,Баткенская область,KG05,1.5
2019,Баткенская область,KG05,2.1
2020,Баткенская область,KG05,1.3
2021,Баткенская область,KG05,2.2
2007,Джалал-Абадская область,KG03,4.1
2008,Джалал-Абадская область,KG03,3.5
2009,Джалал-Абадская область,KG03,3.5
2010,Джалал-Абадская область,KG03,2.8
2011,Джалал-Абадская область,KG03,2.4
2012,Джалал-Абадская область,KG03,2.3
2013,Джалал-Абадская область,KG03,1.5
2014,Джалал-Абадская область,KG03,1.4
2015,Джалал-Абадская область,KG03,2.2
2016,Джалал-Абадская область,KG03,0.9
2017,Джалал-Абадская область,KG03,1.3
2018,Джалал-Абадская область,KG03,0.7
2019,Джалал-Абадская область,KG03,0.4
2020,Джалал-Абадская область,KG03,1.0
2021,Джалал-Абадская область,KG03,1.7
2007,Иссык-Кульская область,KG02,3.5
2008,Иссык-Кульская область,KG02,3.0
2009,Иссык-Кульская область,KG02,1.1
2010,Иссык-Кульская область,KG02,0.9
2011,Иссык-Кульская область,KG02,2.9
2012,Иссык-Кульская область,KG02,1.8
2013,Иссык-Кульская область,KG02,0.9
2014,Иссык-Кульская область,KG02,0.9
2015,Иссык-Кульская область,KG02,1.1
2016,Иссык-Кульская область,KG02,0.6
2017,Иссык-Кульская область,KG02,0.6
2018,Иссык-Кульская область,KG02,0.6
2019,Иссык-Кульская область,KG02,0.6
2020,Иссык-Кульская область,KG02,0.4
2007,Нарынская область,KG04,5.1
2008,Нарынская область,KG04,3.1
2009,Нарынская область,KG04,3.1
2010,Нарынская область,KG04,3.1
2011,Нарынская область,KG04,4.2
2012,Нарынская область,KG04,2.6
2013,Нарынская область,KG04,1.5
2014,Нарынская область,KG04,1.5
2015,Нарынская область,KG04,2.2
2016,Нарынская область,KG04,0.7
2017,Нарынская область,KG04,1.4
2018,Нарынская область,KG04,1.1
2019,Нарынская область,KG04,1.4
2020,Нарынская область,KG04,0.3
2021,Нарынская область,KG04,0.3
2007,Ошская область,KG06,6.2
2008,Ошская область,KG06,6.9
2009,Ошская область,KG06,5.4
2010,Ошская область,KG06,3.2
2011,Ошская область,KG06,3.4
2012,Ошская область,KG06,5.3
2013,Ошская область,KG06,2.2
2014,Ошская область,KG06,2.2
2015,Ошская область,KG06,2.6
2016,Ошская область,KG06,2.2
2017,Ошская область,KG06,1.6
2018,Ошская область,KG06,1.5
2019,Ошская область,KG06,1.3
2020,Ошская область,KG06,0.9
2021,Ошская область,KG06,1.1
2007,Таласская область,KG07,4.9
2008,Таласская область,KG07,2.7
2009,Таласская область,KG07,4.4
2010,Таласская область,KG07,1.7
2011,Таласская область,KG07,4.7
2012,Таласская область,KG07,2.5
2013,Таласская область,KG07,0.8
2014,Таласская область,KG07,1.2
2015,Таласская область,KG07,2.4
2016,Таласская область,KG07,2.4
2017,Таласская область,KG07,0.4
2018,Таласская область,KG07,0.8
2019,Таласская область,KG07,0.4
2020,Таласская область,KG07,0.7
2007,Чуйская область,KG08,2.0
2008,Чуйская область,KG08,1.6
2009,Чуйская область,KG08,1.5
2010,Чуйская область,KG08,1.0
2011,Чуйская область,KG08,2.0
2012,Чуйская область,KG08,2.2
2013,Чуйская область,KG08,1.2
2014,Чуйская область,KG08,0.6
2015,Чуйская область,KG08,0.8
2016,Чуйская область,KG08,0.7
2017,Чуйская область,KG08,0.8
2018,Чуйская область,KG08,0.1
2019,Чуйская область,KG08,0.7
2020,Чуйская область,KG08,0.7
2021,Чуйская область,KG08,0.9
2007,г. Бишкек,KG11,1.5
2008,г. Бишкек,KG11,1.2
2009,г. Бишкек,KG11,0.5
2010,г. Бишкек,KG11,0.8
2011,г. Бишкек,KG11,1.3
2012,г. Бишкек,KG11,0.8
2013,г. Бишкек,KG11,0.8
2014,г. Бишкек,KG11,0.4
2015,г. Бишкек,KG11,0.8
2016,г. Бишкек,KG11,0.6
2017,г. Бишкек,KG11,0.6
2018,г. Бишкек,KG11,0.4
2019,г. Бишкек,KG11,0.7
2020,г. Бишкек,KG11,0.4
2021,г. Бишкек,KG11,0.4
2007,г. Ош,KG21,0.4
2008,г. Ош,KG21,0.8
2009,г. Ош,KG21,1.5
2010,г. Ош,KG21,1.6
2011,г. Ош,KG21,1.2
2012,г. Ош,KG21,0.8
2013,г. Ош,KG21,1.1
2014,г. Ош,KG21,1.1
2015,г. Ош,KG21,0.4
2016,г. Ош,KG21,0.4
2017,г. Ош,KG21,0.7
2018,г. Ош,KG21,0.7
2019,г. Ош,KG21,0.7
2020,г. Ош,KG21,0.3
2021,г. Ош,KG21,0.6
