Year,COMPOSITE_BREAKDOWN,Value
2015,,224
2016,,225
2017,,145
2018,,217
2019,,168
2020,,162
2021,,136
2022,,145
2023,,195
2015,_L_INT_UT_MOD,12
2016,_L_INT_UT_MOD,20
2017,_L_INT_UT_MOD,10
2018,_L_INT_UT_MOD,19
2019,_L_INT_UT_MOD,24
2020,_L_INT_UT_MOD,22
2021,_L_INT_UT_MOD,17
2022,_L_INT_UT_MOD,19
2023,_L_INT_UT_MOD,13
2015,_L_INT_INV,108
2016,_L_INT_INV,119
2017,_L_INT_INV,76
2018,_L_INT_INV,109
2019,_L_INT_INV,66
2020,_L_INT_INV,47
2021,_L_INT_INV,39
2022,_L_INT_INV,45
2023,_L_INT_INV,48
2015,_L_INT_IND_DES,29
2016,_L_INT_IND_DES,13
2017,_L_INT_IND_DES,4
2018,_L_INT_IND_DES,11
2019,_L_INT_IND_DES,5
2020,_L_INT_IND_DES,3
2021,_L_INT_IND_DES,3
2022,_L_INT_IND_DES,5
2023,_L_INT_IND_DES,3
2015,_L_INT_RAT_PROP,37
2016,_L_INT_RAT_PROP,17
2017,_L_INT_RAT_PROP,12
2018,_L_INT_RAT_PROP,10
2019,_L_INT_RAT_PROP,12
2020,_L_INT_RAT_PROP,27
2021,_L_INT_RAT_PROP,18
2022,_L_INT_RAT_PROP,5
2023,_L_INT_RAT_PROP,21
2015,_L_INT_COMP_PROG,34
2016,_L_INT_COMP_PROG,50
2017,_L_INT_COMP_PROG,39
2018,_L_INT_COMP_PROG,59
2019,_L_INT_COMP_PROG,59
2020,_L_INT_COMP_PROG,62
2021,_L_INT_COMP_PROG,59
2022,_L_INT_COMP_PROG,60
2023,_L_INT_COMP_PROG,76
2015,_L_INT_DATABASE,4
2016,_L_INT_DATABASE,6
2017,_L_INT_DATABASE,4
2018,_L_INT_DATABASE,9
2019,_L_INT_DATABASE,2
2020,_L_INT_DATABASE,1
2021,_L_INT_DATABASE,0
2022,_L_INT_DATABASE,11
2023,_L_INT_DATABASE,34
