Year,SERIES,Пол,Value
2012,Доля должностей в государственных учреждениях: на политических должностях ,,30
2013,Доля должностей в государственных учреждениях: на политических должностях ,,49
2014,Доля должностей в государственных учреждениях: на политических должностях ,,31
2015,Доля должностей в государственных учреждениях: на политических должностях ,,44
2016,Доля должностей в государственных учреждениях: на политических должностях ,,45
2017,Доля должностей в государственных учреждениях: на политических должностях ,,16
2018,Доля должностей в государственных учреждениях: на политических должностях ,,13
2019,Доля должностей в государственных учреждениях: на политических должностях ,,12
2012,Доля должностей в государственных учреждениях: на политических должностях ,Мужчины,39
2013,Доля должностей в государственных учреждениях: на политических должностях ,Мужчины,61
2014,Доля должностей в государственных учреждениях: на политических должностях ,Мужчины,57
2015,Доля должностей в государственных учреждениях: на политических должностях ,Мужчины,57
2016,Доля должностей в государственных учреждениях: на политических должностях ,Мужчины,59
2017,Доля должностей в государственных учреждениях: на политических должностях ,Мужчины,23
2018,Доля должностей в государственных учреждениях: на политических должностях ,Мужчины,20
2019,Доля должностей в государственных учреждениях: на политических должностях ,Мужчины,17
2012,Доля должностей в государственных учреждениях: на политических должностях ,Женщины,16
2013,Доля должностей в государственных учреждениях: на политических должностях ,Женщины,31
2014,Доля должностей в государственных учреждениях: на политических должностях ,Женщины,26
2015,Доля должностей в государственных учреждениях: на политических должностях ,Женщины,25
2016,Доля должностей в государственных учреждениях: на политических должностях ,Женщины,26
2017,Доля должностей в государственных учреждениях: на политических должностях ,Женщины,5
2018,Доля должностей в государственных учреждениях: на политических должностях ,Женщины,4
2019,Доля должностей в государственных учреждениях: на политических должностях ,Женщины,4
2012,Доля должностей в государственных учреждениях: на специальных должностях ,,24
2013,Доля должностей в государственных учреждениях: на специальных должностях ,,13
2014,Доля должностей в государственных учреждениях: на специальных должностях ,,9
2015,Доля должностей в государственных учреждениях: на специальных должностях ,,22
2016,Доля должностей в государственных учреждениях: на специальных должностях ,,26
2017,Доля должностей в государственных учреждениях: на специальных должностях ,,27
2018,Доля должностей в государственных учреждениях: на специальных должностях ,,26
2019,Доля должностей в государственных учреждениях: на специальных должностях ,,33
2012,Доля должностей в государственных учреждениях: на специальных должностях ,Мужчины,27
2013,Доля должностей в государственных учреждениях: на специальных должностях ,Мужчины,16
2014,Доля должностей в государственных учреждениях: на специальных должностях ,Мужчины,22
2015,Доля должностей в государственных учреждениях: на специальных должностях ,Мужчины,26
2016,Доля должностей в государственных учреждениях: на специальных должностях ,Мужчины,28
2017,Доля должностей в государственных учреждениях: на специальных должностях ,Мужчины,28
2018,Доля должностей в государственных учреждениях: на специальных должностях ,Мужчины,27
2019,Доля должностей в государственных учреждениях: на специальных должностях ,Мужчины,39
2012,Доля должностей в государственных учреждениях: на специальных должностях ,Женщины,20
2013,Доля должностей в государственных учреждениях: на специальных должностях ,Женщины,9
2014,Доля должностей в государственных учреждениях: на специальных должностях ,Женщины,17
2015,Доля должностей в государственных учреждениях: на специальных должностях ,Женщины,17
2016,Доля должностей в государственных учреждениях: на специальных должностях ,Женщины,23
2017,Доля должностей в государственных учреждениях: на специальных должностях ,Женщины,24
2018,Доля должностей в государственных учреждениях: на специальных должностях ,Женщины,25
2019,Доля должностей в государственных учреждениях: на специальных должностях ,Женщины,25
2012,Доля должностей в государственных учреждениях: на административных должностях ,,946
2013,Доля должностей в государственных учреждениях: на административных должностях ,,938
2014,Доля должностей в государственных учреждениях: на административных должностях ,,960
2015,Доля должностей в государственных учреждениях: на административных должностях ,,934
2016,Доля должностей в государственных учреждениях: на административных должностях ,,928
2017,Доля должностей в государственных учреждениях: на административных должностях ,,958
2018,Доля должностей в государственных учреждениях: на административных должностях ,,961
2019,Доля должностей в государственных учреждениях: на административных должностях ,,955
2012,Доля должностей в государственных учреждениях: на административных должностях ,Мужчины,933
2013,Доля должностей в государственных учреждениях: на административных должностях ,Мужчины,923
2014,Доля должностей в государственных учреждениях: на административных должностях ,Мужчины,922
2015,Доля должностей в государственных учреждениях: на административных должностях ,Мужчины,917
2016,Доля должностей в государственных учреждениях: на административных должностях ,Мужчины,913
2017,Доля должностей в государственных учреждениях: на административных должностях ,Мужчины,948
2018,Доля должностей в государственных учреждениях: на административных должностях ,Мужчины,954
2019,Доля должностей в государственных учреждениях: на административных должностях ,Мужчины,944
2012,Доля должностей в государственных учреждениях: на административных должностях ,Женщины,964
2013,Доля должностей в государственных учреждениях: на административных должностях ,Женщины,960
2014,Доля должностей в государственных учреждениях: на административных должностях ,Женщины,957
2015,Доля должностей в государственных учреждениях: на административных должностях ,Женщины,958
2016,Доля должностей в государственных учреждениях: на административных должностях ,Женщины,951
2017,Доля должностей в государственных учреждениях: на административных должностях ,Женщины,971
2018,Доля должностей в государственных учреждениях: на административных должностях ,Женщины,972
2019,Доля должностей в государственных учреждениях: на административных должностях ,Женщины,972
