From,To
Сноски на уровне наблюдения,Территория
Сноски на уровне наблюдения,Возраст
Сноски на уровне наблюдения,Тип местности
Сноски на уровне наблюдения,Уровень дохода или квантиль благосостояния
Сноски на уровне наблюдения,Уровень образования
Сноски на уровне наблюдения,Статус инвалидности
