From,To
Показатель,Местность
Показатель,Территория1
Показатель,Возраст1
Показатель,Образование матери
Показатель,Функциональные трудности у ребенка
Показатель,Функциональные трудности у матери
Показатель,Квинтиль индекса благосостояния
