Year,concept.REF_AREA,Value
2007,,19.5
2008,,18.6
2009,,18.6
2010,,18.5
2011,,19.0
2012,,18.5
2013,,17.9
2014,,17.3
2015,,17.1
2016,,16.6
2017,,16.8
2018,,16.6
2007,code.KG05,21.0
2008,code.KG05,19.0
2009,code.KG05,19.0
2010,code.KG05,19.0
2011,code.KG05,19.0
2012,code.KG05,18.0
2013,code.KG05,18.0
2014,code.KG05,18.0
2015,code.KG05,17.0
2016,code.KG05,15.0
2017,code.KG05,15.0
2018,code.KG05,15.0
2007,code.KG03,46.0
2008,code.KG03,42.0
2009,code.KG03,41.0
2010,code.KG03,41.0
2011,code.KG03,43.0
2012,code.KG03,41.0
2013,code.KG03,41.0
2014,code.KG03,40.0
2015,code.KG03,39.0
2016,code.KG03,37.0
2017,code.KG03,38.0
2018,code.KG03,38.0
2007,code.KG02,15.0
2008,code.KG02,14.0
2009,code.KG02,14.0
2010,code.KG02,14.0
2011,code.KG02,15.0
2012,code.KG02,15.0
2013,code.KG02,14.0
2014,code.KG02,14.0
2015,code.KG02,14.0
2016,code.KG02,14.0
2017,code.KG02,14.0
2018,code.KG02,14.0
2007,code.KG04,17.0
2008,code.KG04,15.0
2009,code.KG04,14.0
2010,code.KG04,15.0
2011,code.KG04,16.0
2012,code.KG04,15.0
2013,code.KG04,14.0
2014,code.KG04,14.0
2015,code.KG04,13.0
2016,code.KG04,13.0
2017,code.KG04,13.0
2018,code.KG04,12.0
2007,code.KG06,49.0
2008,code.KG06,47.0
2009,code.KG06,48.0
2010,code.KG06,47.0
2011,code.KG06,47.0
2012,code.KG06,45.0
2013,code.KG06,43.0
2014,code.KG06,40.0
2015,code.KG06,40.0
2016,code.KG06,38.0
2017,code.KG06,39.0
2018,code.KG06,36.0
2007,code.KG07,7.0
2008,code.KG07,8.0
2009,code.KG07,8.0
2010,code.KG07,8.0
2011,code.KG07,8.0
2012,code.KG07,8.0
2013,code.KG07,8.0
2014,code.KG07,8.0
2015,code.KG07,8.0
2016,code.KG07,8.0
2017,code.KG07,9.0
2018,code.KG07,8.0
2007,code.KG08,20.0
2008,code.KG08,20.0
2009,code.KG08,19.0
2010,code.KG08,19.0
2011,code.KG08,19.0
2012,code.KG08,20.0
2013,code.KG08,19.0
2014,code.KG08,19.0
2015,code.KG08,19.0
2016,code.KG08,19.0
2017,code.KG08,19.0
2018,code.KG08,19.0
2007,code.KG11,15.0
2008,code.KG11,18.0
2009,code.KG11,18.0
2010,code.KG11,18.0
2011,code.KG11,18.0
2012,code.KG11,18.0
2013,code.KG11,18.0
2014,code.KG11,17.0
2015,code.KG11,17.0
2016,code.KG11,17.0
2017,code.KG11,18.0
2018,code.KG11,18.0
2007,code.KG21,5.0
2008,code.KG21,5.0
2009,code.KG21,5.0
2010,code.KG21,5.0
2011,code.KG21,5.0
2012,code.KG21,5.0
2013,code.KG21,5.0
2014,code.KG21,5.0
2015,code.KG21,5.0
2016,code.KG21,4.0
2017,code.KG21,4.0
2018,code.KG21,5.0
