Year,concept.REF_AREA,concept.SEX,Value
2007,,,121.0
2008,,,106.0
2009,,,109.0
2010,,,92.0
2011,,,100.0
2012,,,101.0
2013,,,80.0
2014,,,75.0
2015,,,59.0
2016,,,60.0
2017,,,5.3
2018,,,51.0
2007,,code.F,103.0
2008,,code.F,81.0
2009,,code.F,72.0
2010,,code.F,66.0
2011,,code.F,77.0
2012,,code.F,71.0
2013,,code.F,64.0
2014,,code.F,55.0
2015,,code.F,42.0
2016,,code.F,45.0
2017,,code.F,4.3
2018,,code.F,35.0
2007,,code.M,140.0
2008,,code.M,131.0
2009,,code.M,146.0
2010,,code.M,118.0
2011,,code.M,123.0
2012,,code.M,131.0
2013,,code.M,95.0
2014,,code.M,95.0
2015,,code.M,75.0
2016,,code.M,75.0
2017,,code.M,6.2
2018,,code.M,68.0
2007,code.KG05,,202.0
2008,code.KG05,,200.0
2009,code.KG05,,116.0
2010,code.KG05,,46.0
2011,code.KG05,,117.0
2012,code.KG05,,86.0
2013,code.KG05,,71.0
2014,code.KG05,,57.0
2015,code.KG05,,49.0
2016,code.KG05,,86.0
2017,code.KG05,,2.6
2018,code.KG05,,31.0
2007,code.KG05,code.F,183.0
2008,code.KG05,code.F,172.0
2009,code.KG05,code.F,95.0
2010,code.KG05,code.F,33.0
2011,code.KG05,code.F,82.0
2012,code.KG05,code.F,63.0
2013,code.KG05,code.F,70.0
2014,code.KG05,code.F,51.0
2015,code.KG05,code.F,42.0
2016,code.KG05,code.F,90.0
2017,code.KG05,code.F,2.8
2018,code.KG05,code.F,27.0
2007,code.KG05,code.M,220.0
2008,code.KG05,code.M,227.0
2009,code.KG05,code.M,137.0
2010,code.KG05,code.M,58.0
2011,code.KG05,code.M,151.0
2012,code.KG05,code.M,109.0
2013,code.KG05,code.M,72.0
2014,code.KG05,code.M,62.0
2015,code.KG05,code.M,57.0
2016,code.KG05,code.M,83.0
2017,code.KG05,code.M,2.3
2018,code.KG05,code.M,34.0
2007,code.KG03,,59.0
2008,code.KG03,,64.0
2009,code.KG03,,63.0
2010,code.KG03,,59.0
2011,code.KG03,,48.0
2012,code.KG03,,89.0
2013,code.KG03,,72.0
2014,code.KG03,,58.0
2015,code.KG03,,44.0
2016,code.KG03,,26.0
2017,code.KG03,,3.3
2018,code.KG03,,27.0
2007,code.KG03,code.F,47.0
2008,code.KG03,code.F,46.0
2009,code.KG03,code.F,57.0
2010,code.KG03,code.F,41.0
2011,code.KG03,code.F,48.0
2012,code.KG03,code.F,79.0
2013,code.KG03,code.F,66.0
2014,code.KG03,code.F,33.0
2015,code.KG03,code.F,35.0
2016,code.KG03,code.F,24.0
2017,code.KG03,code.F,2.7
2018,code.KG03,code.F,17.0
2007,code.KG03,code.M,71.0
2008,code.KG03,code.M,82.0
2009,code.KG03,code.M,69.0
2010,code.KG03,code.M,78.0
2011,code.KG03,code.M,48.0
2012,code.KG03,code.M,99.0
2013,code.KG03,code.M,77.0
2014,code.KG03,code.M,83.0
2015,code.KG03,code.M,53.0
2016,code.KG03,code.M,28.0
2017,code.KG03,code.M,3.9
2018,code.KG03,code.M,36.0
2007,code.KG02,,101.0
2008,code.KG02,,73.0
2009,code.KG02,,91.0
2010,code.KG02,,93.0
2011,code.KG02,,110.0
2012,code.KG02,,82.0
2013,code.KG02,,99.0
2014,code.KG02,,69.0
2015,code.KG02,,54.0
2016,code.KG02,,44.0
2017,code.KG02,,4.6
2018,code.KG02,,62.0
2007,code.KG02,code.F,68.0
2008,code.KG02,code.F,59.0
2009,code.KG02,code.F,58.0
2010,code.KG02,code.F,49.0
2011,code.KG02,code.F,80.0
2012,code.KG02,code.F,70.0
2013,code.KG02,code.F,65.0
2014,code.KG02,code.F,52.0
2015,code.KG02,code.F,47.0
2016,code.KG02,code.F,25.0
2017,code.KG02,code.F,5.4
2018,code.KG02,code.F,29.0
2007,code.KG02,code.M,136.0
2008,code.KG02,code.M,88.0
2009,code.KG02,code.M,124.0
2010,code.KG02,code.M,137.0
2011,code.KG02,code.M,140.0
2012,code.KG02,code.M,94.0
2013,code.KG02,code.M,133.0
2014,code.KG02,code.M,87.0
2015,code.KG02,code.M,60.0
2016,code.KG02,code.M,64.0
2017,code.KG02,code.M,3.8
2018,code.KG02,code.M,95.0
2007,code.KG04,,121.0
2008,code.KG04,,70.0
2009,code.KG04,,116.0
2010,code.KG04,,77.0
2011,code.KG04,,110.0
2012,code.KG04,,68.0
2013,code.KG04,,67.0
2014,code.KG04,,44.0
2015,code.KG04,,22.0
2016,code.KG04,,43.0
2017,code.KG04,,2.8
2018,code.KG04,,32.0
2007,code.KG04,code.F,110.0
2008,code.KG04,code.F,71.0
2009,code.KG04,code.F,39.0
