Year,Value
2007,22.4
2008,21.4
2009,19.6
2010,17.4
2011,19.9
2012,20.2
2013,20.8
2014,18.5
2015,18.9
2016,20
2017,19.4
2018,21.1
2007,10.2
2008,9.8
2009,9.9
2010,9.3
2011,9.9
2012,10.6
2013,11.3
2014,9.9
2015,9.5
2016,8.8
2017,9.7
2018,8.6
2007,10.5
2008,10.3
2009,9.5
2010,16.1
2011,15.5
2012,16.3
2013,19.5
2014,19.2
2015,18.4
2016,16.5
2017,16.2
2018,19.1
