Year,concept.COMPOSITE_BREAKDOWN,Value
2012,code.IS_256KT2M,22233
2013,code.IS_256KT2M,77877
2014,code.IS_256KT2M,105680
2015,code.IS_256KT2M,46408
2016,code.IS_256KT2M,27317
2017,code.IS_256KT2M,27428
2018,code.IS_256KT2M,12521
2012,code.IS_2MT10M,6530
2013,code.IS_2MT10M,43943
2014,code.IS_2MT10M,65345
2015,code.IS_2MT10M,59374
2016,code.IS_2MT10M,91834
2017,code.IS_2MT10M,101786
2018,code.IS_2MT10M,73099
2012,code.IS_GE10M,19351
2013,code.IS_GE10M,14065
2014,code.IS_GE10M,14032
2015,code.IS_GE10M,105739
2016,code.IS_GE10M,117068
2017,code.IS_GE10M,128799
2018,code.IS_GE10M,154572
