Year,concept.REF_AREA,Value
2007,,353.0
2008,,315.0
2009,,293.0
2010,,265.0
2011,,245.0
2012,,234.0
2013,,233.0
2014,,231.0
2015,,215.0
2016,,198.0
2017,,18.5
2018,,17.6
2007,code.KG05,403.0
2008,code.KG05,397.0
2009,code.KG05,337.0
2010,code.KG05,343.0
2011,code.KG05,287.0
2012,code.KG05,259.0
2013,code.KG05,258.0
2014,code.KG05,236.0
2015,code.KG05,218.0
2016,code.KG05,188.0
2017,code.KG05,18.6
2018,code.KG05,14.9
2007,code.KG03,308.0
2008,code.KG03,262.0
2009,code.KG03,245.0
2010,code.KG03,219.0
2011,code.KG03,207.0
2012,code.KG03,198.0
2013,code.KG03,210.0
2014,code.KG03,219.0
2015,code.KG03,211.0
2016,code.KG03,198.0
2017,code.KG03,17.2
2018,code.KG03,15.7
2007,code.KG02,289.0
2008,code.KG02,280.0
2009,code.KG02,249.0
2010,code.KG02,223.0
2011,code.KG02,248.0
2012,code.KG02,240.0
2013,code.KG02,195.0
2014,code.KG02,169.0
2015,code.KG02,188.0
2016,code.KG02,178.0
2017,code.KG02,15.2
2018,code.KG02,14.3
2007,code.KG04,339.0
2008,code.KG04,301.0
2009,code.KG04,280.0
2010,code.KG04,250.0
2011,code.KG04,201.0
2012,code.KG04,217.0
2013,code.KG04,202.0
2014,code.KG04,226.0
2015,code.KG04,168.0
2016,code.KG04,179.0
2017,code.KG04,18.2
2018,code.KG04,15.1
2007,code.KG06,347.0
2008,code.KG06,299.0
2009,code.KG06,261.0
2010,code.KG06,241.0
2011,code.KG06,211.0
2012,code.KG06,190.0
2013,code.KG06,172.0
2014,code.KG06,150.0
2015,code.KG06,143.0
2016,code.KG06,122.0
2017,code.KG06,11.7
2018,code.KG06,110.0
2007,code.KG07,438.0
2008,code.KG07,383.0
2009,code.KG07,390.0
2010,code.KG07,295.0
2011,code.KG07,277.0
2012,code.KG07,229.0
2013,code.KG07,265.0
2014,code.KG07,241.0
2015,code.KG07,178.0
2016,code.KG07,197.0
2017,code.KG07,17.1
2018,code.KG07,22.8
2007,code.KG08,316.0
2008,code.KG08,274.0
2009,code.KG08,251.0
2010,code.KG08,242.0
2011,code.KG08,226.0
2012,code.KG08,208.0
2013,code.KG08,212.0
2014,code.KG08,186.0
2015,code.KG08,171.0
2016,code.KG08,165.0
2017,code.KG08,12.9
2018,code.KG08,12.7
2007,code.KG11,363.0
2008,code.KG11,346.0
2009,code.KG11,323.0
2010,code.KG11,282.0
2011,code.KG11,262.0
2012,code.KG11,248.0
2013,code.KG11,257.0
2014,code.KG11,286.0
2015,code.KG11,266.0
2016,code.KG11,257.0
2017,code.KG11,26.4
2018,code.KG11,25.1
2007,code.KG21,637.0
2008,code.KG21,529.0
2009,code.KG21,644.0
2010,code.KG21,529.0
2011,code.KG21,583.0
2012,code.KG21,634.0
2013,code.KG21,656.0
2014,code.KG21,724.0
2015,code.KG21,703.0
2016,code.KG21,600.0
2017,code.KG21,53.1
2018,code.KG21,390.0
