Year,concept.SEX,concept.COMPOSITE_BREAKDOWN,Value
2015,code.M,code._L_CSE_UNWILL,38
2016,code.M,code._L_CSE_UNWILL,26
2017,code.M,code._L_CSE_UNWILL,29
2018,code.M,code._L_CSE_UNWILL,66
2005,code.M,code._L_CSE_FAMILY,87
2006,code.M,code._L_CSE_FAMILY,65
2007,code.M,code._L_CSE_FAMILY,72
2008,code.M,code._L_CSE_FAMILY,64
2009,code.M,code._L_CSE_FAMILY,15
2010,code.M,code._L_CSE_FAMILY,27
2011,code.M,code._L_CSE_FAMILY,40
2012,code.M,code._L_CSE_FAMILY,23
2013,code.M,code._L_CSE_FAMILY,14
2014,code.M,code._L_CSE_FAMILY,7
2015,code.M,code._L_CSE_FAMILY,8
2016,code.M,code._L_CSE_FAMILY,8
2017,code.M,code._L_CSE_FAMILY,9
2018,code.M,code._L_CSE_FAMILY,12
2005,code.M,code._L_CSE_NOLANG,11
2006,code.M,code._L_CSE_NOLANG,9
2007,code.M,code._L_CSE_NOLANG,1
2008,code.M,code._L_CSE_NOLANG,3
2009,code.M,code._L_CSE_NOLANG,16
2010,code.M,code._L_CSE_NOLANG,9
2011,code.M,code._L_CSE_NOLANG,4
2012,code.M,code._L_CSE_NOLANG,4
2013,code.M,code._L_CSE_NOLANG,6
2018,code.M,code._L_CSE_NOLANG,0
2014,code.M,code._L_CSE_MARR,3
2005,code.M,code._L_CSE_WORK,102
2006,code.M,code._L_CSE_WORK,218
2007,code.M,code._L_CSE_WORK,204
2008,code.M,code._L_CSE_WORK,79
2009,code.M,code._L_CSE_WORK,185
2010,code.M,code._L_CSE_WORK,183
2011,code.M,code._L_CSE_WORK,211
2012,code.M,code._L_CSE_WORK,136
2013,code.M,code._L_CSE_WORK,641
2014,code.M,code._L_CSE_WORK,114
2015,code.M,code._L_CSE_WORK,89
2016,code.M,code._L_CSE_WORK,241
2017,code.M,code._L_CSE_WORK,218
2018,code.M,code._L_CSE_WORK,108
2013,code.M,code._L_CSE_TRANSPORT,2
2014,code.M,code._L_CSE_TRANSPORT,3
2016,code.M,code._L_CSE_TRANSPORT,2
2018,code.M,code._L_CSE_TRANSPORT,3
2013,code.M,code._L_CSE_SEASWORK,19
2014,code.M,code._L_CSE_SEASWORK,26
2015,code.M,code._L_CSE_SEASWORK,98
2016,code.M,code._L_CSE_SEASWORK,6
2017,code.M,code._L_CSE_SEASWORK,2
2018,code.M,code._L_CSE_SEASWORK,11
2013,code.M,code._L_CSE_AGE,2
2014,code.M,code._L_CSE_AGE,5
2015,code.M,code._L_CSE_AGE,0
2016,code.M,code._L_CSE_AGE,1
2018,code.M,code._L_CSE_AGE,20
2005,code.M,code._L_CSE_SICK,310
2006,code.M,code._L_CSE_SICK,271
2007,code.M,code._L_CSE_SICK,301
2008,code.M,code._L_CSE_SICK,153
2009,code.M,code._L_CSE_SICK,230
2010,code.M,code._L_CSE_SICK,381
2011,code.M,code._L_CSE_SICK,297
2012,code.M,code._L_CSE_SICK,271
