Year,concept.REF_AREA,concept.URBANISATION,Value
2000,,,605
2001,,,772
2002,,,514
2003,,,552
2004,,,482
2005,,,495
2006,,,476
2007,,,485
2008,,,452
2009,,,407
2010,,,423
2011,,,447
2012,,,510
2013,,,486
2014,,,479
2015,,,510
2016,,,456
2017,,,500
2018,,,464
2000,,code.U,695
2001,,code.U,841
2002,,code.U,677
2003,,code.U,592
2004,,code.U,494
2005,,code.U,523
2006,,code.U,461
2007,,code.U,467
2008,,code.U,454
2009,,code.U,384
2010,,code.U,445
2011,,code.U,514
2012,,code.U,608
2013,,code.U,487
2014,,code.U,530
2015,,code.U,585
2016,,code.U,487
2017,,code.U,555
2018,,code.U,516
2000,,code.R,558
2001,,code.R,735
2002,,code.R,426
2003,,code.R,531
2004,,code.R,481
2005,,code.R,478
2006,,code.R,484
2007,,code.R,495
2008,,code.R,450
2009,,code.R,419
2010,,code.R,411
2011,,code.R,407
2012,,code.R,454
2013,,code.R,486
2014,,code.R,451
2015,,code.R,468
2016,,code.R,439
2017,,code.R,470
2018,,code.R,435
2000,code.KG05,,593
2001,code.KG05,,616
2002,code.KG05,,370
2003,code.KG05,,423
2004,code.KG05,,370
2005,code.KG05,,535
2006,code.KG05,,479
2007,code.KG05,,302
2008,code.KG05,,374
2009,code.KG05,,486
2010,code.KG05,,427
2011,code.KG05,,441
2012,code.KG05,,505
2013,code.KG05,,629
2014,code.KG05,,536
2015,code.KG05,,498
2016,code.KG05,,530
2017,code.KG05,,525
2018,code.KG05,,546
2000,code.KG03,,593
2001,code.KG03,,810
2002,code.KG03,,425
2003,code.KG03,,570
2004,code.KG03,,517
2005,code.KG03,,614
2006,code.KG03,,527
2007,code.KG03,,612
2008,code.KG03,,515
2009,code.KG03,,344
2010,code.KG03,,456
2011,code.KG03,,415
2012,code.KG03,,562
2013,code.KG03,,554
2014,code.KG03,,548
2015,code.KG03,,559
2016,code.KG03,,482
2017,code.KG03,,412
2018,code.KG03,,440
2000,code.KG02,,650
2001,code.KG02,,788
2002,code.KG02,,601
2003,code.KG02,,520
2004,code.KG02,,410
2005,code.KG02,,460
2006,code.KG02,,499
2007,code.KG02,,508
2008,code.KG02,,549
2009,code.KG02,,444
2010,code.KG02,,435
2011,code.KG02,,410
2012,code.KG02,,370
2013,code.KG02,,398
2014,code.KG02,,426
2015,code.KG02,,463
2016,code.KG02,,450
2017,code.KG02,,518
2018,code.KG02,,494
2000,code.KG04,,694
2001,code.KG04,,839
2002,code.KG04,,616
2003,code.KG04,,564
2004,code.KG04,,646
2005,code.KG04,,411
2006,code.KG04,,446
2007,code.KG04,,550
2008,code.KG04,,463
2009,code.KG04,,453
2010,code.KG04,,540
2011,code.KG04,,551
2012,code.KG04,,510
2013,code.KG04,,499
2014,code.KG04,,541
2015,code.KG04,,500
2016,code.KG04,,526
2017,code.KG04,,413
2018,code.KG04,,425
2000,code.KG06,,620
2001,code.KG06,,800
2002,code.KG06,,547
2003,code.KG06,,618
2004,code.KG06,,556
2005,code.KG06,,532
2006,code.KG06,,611
2007,code.KG06,,577
2008,code.KG06,,501
2009,code.KG06,,467
2010,code.KG06,,462
2011,code.KG06,,471
2012,code.KG06,,541
2013,code.KG06,,471
2014,code.KG06,,331
2015,code.KG06,,379
2016,code.KG06,,394
2017,code.KG06,,428
2018,code.KG06,,415
2000,code.KG07,,640
2001,code.KG07,,775
2002,code.KG07,,496
2003,code.KG07,,571
2004,code.KG07,,560
2005,code.KG07,,422
2006,code.KG07,,488
2007,code.KG07,,447
2008,code.KG07,,466
2009,code.KG07,,396
2010,code.KG07,,381
2011,code.KG07,,420
2012,code.KG07,,424
2013,code.KG07,,235
2014,code.KG07,,274
2015,code.KG07,,287
2016,code.KG07,,274
2017,code.KG07,,349
2018,code.KG07,,361
2000,code.KG08,,466
2001,code.KG08,,643
2002,code.KG08,,393
2003,code.KG08,,394
2004,code.KG08,,339
2005,code.KG08,,336
2006,code.KG08,,278
2007,code.KG08,,320
2008,code.KG08,,325
2009,code.KG08,,359
2010,code.KG08,,309
2011,code.KG08,,393
2012,code.KG08,,357
2013,code.KG08,,442
2014,code.KG08,,510
2015,code.KG08,,524
2016,code.KG08,,436
2017,code.KG08,,584
2018,code.KG08,,412
2000,code.KG11,,680
2001,code.KG11,,856
2002,code.KG11,,680
2003,code.KG11,,654
2004,code.KG11,,479
2005,code.KG11,,485
2006,code.KG11,,370
2007,code.KG11,,407
2008,code.KG11,,393
2009,code.KG11,,359
2010,code.KG11,,398
2011,code.KG11,,497
2012,code.KG11,,638
2013,code.KG11,,439
2014,code.KG11,,540
2015,code.KG11,,652
2016,code.KG11,,492
2017,code.KG11,,603
2018,code.KG11,,518
2013,code.KG21,,693
2014,code.KG21,,672
2015,code.KG21,,677
2016,code.KG21,,544
2017,code.KG21,,722
2018,code.KG21,,701
