Year,concept.REF_AREA,concept.SEX,Value
2007,,,277
2008,,,323
2009,,,242
2010,,,901
2011,,,279
2012,,,270
2013,,,384
2014,,,292
2015,,,221
2016,,,245
2017,,,170
2018,,,250
2007,,code.M,155
2008,,code.M,132
2009,,code.M,106
2010,,code.M,198
2011,,code.M,101
2012,,code.M,128
2013,,code.M,161
2014,,code.M,155
2015,,code.M,84
2016,,code.M,164
2017,,code.M,136
2018,,code.M,149
2007,,code.F,418
2008,,code.F,523
2009,,code.F,389
2010,,code.F,1643
2011,,code.F,464
2012,,code.F,423
2013,,code.F,633
2014,,code.F,446
2015,,code.F,379
2016,,code.F,337
2017,,code.F,209
2018,,code.F,366
2007,code.KG05,,112
2008,code.KG05,,529
2009,code.KG05,,260
2010,code.KG05,,670
2011,code.KG05,,450
2012,code.KG05,,449
2013,code.KG05,,405
2014,code.KG05,,602
2015,code.KG05,,59
2016,code.KG05,,118
2017,code.KG05,,169
2018,code.KG05,,142
2010,code.KG05,code.M,89
2012,code.KG05,code.M,142
2016,code.KG05,code.M,56
2007,code.KG05,code.F,213
2008,code.KG05,code.F,935
2009,code.KG05,code.F,498
2010,code.KG05,code.F,1127
2011,code.KG05,code.F,867
2012,code.KG05,code.F,741
2013,code.KG05,code.F,766
2014,code.KG05,code.F,1314
2015,code.KG05,code.F,129
2016,code.KG05,code.F,188
2017,code.KG05,code.F,372
2018,code.KG05,code.F,324
2007,code.KG03,,573
2008,code.KG03,,348
2009,code.KG03,,469
2010,code.KG03,,413
2011,code.KG03,,346
2012,code.KG03,,322
2013,code.KG03,,360
2014,code.KG03,,227
2015,code.KG03,,208
2016,code.KG03,,265
2017,code.KG03,,146
2018,code.KG03,,461
2007,code.KG03,code.M,134
2008,code.KG03,code.M,29
2009,code.KG03,code.M,64
2010,code.KG03,code.M,32
2012,code.KG03,code.M,56
2013,code.KG03,code.M,28
2014,code.KG03,code.M,56
2015,code.KG03,code.M,25
2016,code.KG03,code.M,102
2017,code.KG03,code.M,24
2018,code.KG03,code.M,100
2007,code.KG03,code.F,1080
2008,code.KG03,code.F,696
2009,code.KG03,code.F,915
2010,code.KG03,code.F,829
2011,code.KG03,code.F,755
2012,code.KG03,code.F,644
2013,code.KG03,code.F,769
2014,code.KG03,code.F,426
2015,code.KG03,code.F,430
2016,code.KG03,code.F,463
2017,code.KG03,code.F,290
2018,code.KG03,code.F,861
2007,code.KG02,,210
2008,code.KG02,,318
2009,code.KG02,,190
2010,code.KG02,,679
2011,code.KG02,,312
2012,code.KG02,,246
2013,code.KG02,,447
2014,code.KG02,,292
2015,code.KG02,,520
2016,code.KG02,,448
2017,code.KG02,,186
2018,code.KG02,,101
2007,code.KG02,code.M,158
2008,code.KG02,code.M,53
2010,code.KG02,code.M,101
2011,code.KG02,code.M,50
2012,code.KG02,code.M,102
2013,code.KG02,code.M,101
2014,code.KG02,code.M,51
2015,code.KG02,code.M,96
2016,code.KG02,code.M,195
2017,code.KG02,code.M,149
2007,code.KG02,code.F,263
2008,code.KG02,code.F,583
2009,code.KG02,code.F,370
2010,code.KG02,code.F,1303
2011,code.KG02,code.F,589
2012,code.KG02,code.F,413
2013,code.KG02,code.F,824
2014,code.KG02,code.F,559
2015,code.KG02,code.F,1020
2016,code.KG02,code.F,742
2017,code.KG02,code.F,227
2018,code.KG02,code.F,224
2007,code.KG04,,180
2008,code.KG04,,267
2009,code.KG04,,43
2010,code.KG04,,301
2011,code.KG04,,127
2012,code.KG04,,249
2013,code.KG04,,82
2014,code.KG04,,123
2015,code.KG04,,37
2016,code.KG04,,354
2007,code.KG04,code.M,84
2010,code.KG04,code.M,78
2012,code.KG04,code.M,149
2007,code.KG04,code.F,290
2008,code.KG04,code.F,596
2009,code.KG04,code.F,96
2010,code.KG04,code.F,576
2011,code.KG04,code.F,281
2012,code.KG04,code.F,373
2013,code.KG04,code.F,189
2014,code.KG04,code.F,283
2015,code.KG04,code.F,87
2016,code.KG04,code.F,814
2008,code.KG06,,21
2011,code.KG06,,24
2015,code.KG06,,52
2016,code.KG06,,23
2017,code.KG06,,45
2018,code.KG06,,46
2016,code.KG06,code.M,38
2018,code.KG06,code.M,39
2008,code.KG06,code.F,49
2011,code.KG06,code.F,60
2015,code.KG06,code.F,130
2017,code.KG06,code.F,111
2018,code.KG06,code.F,55
2007,code.KG07,,115
2008,code.KG07,,57
2009,code.KG07,,161
2010,code.KG07,,384
2011,code.KG07,,212
2012,code.KG07,,105
2013,code.KG07,,255
2014,code.KG07,,260
2015,code.KG07,,151
2016,code.KG07,,107
2018,code.KG07,,148
2009,code.KG07,code.M,95
2010,code.KG07,code.M,102
2014,code.KG07,code.M,193
2018,code.KG07,code.M,93
2007,code.KG07,code.F,266
2008,code.KG07,code.F,135
2009,code.KG07,code.F,246
2010,code.KG07,code.F,713
2011,code.KG07,code.F,468
2012,code.KG07,code.F,231
2013,code.KG07,code.F,555
2014,code.KG07,code.F,339
2015,code.KG07,code.F,326
2016,code.KG07,code.F,235
2018,code.KG07,code.F,210
2007,code.KG08,,548
2008,code.KG08,,513
2009,code.KG08,,305
2010,code.KG08,,398
2011,code.KG08,,283
2012,code.KG08,,615
2013,code.KG08,,501
2014,code.KG08,,395
2015,code.KG08,,529
2016,code.KG08,,207
2017,code.KG08,,149
2018,code.KG08,,278
2007,code.KG08,code.M,542
2008,code.KG08,code.M,265
2009,code.KG08,code.M,151
2010,code.KG08,code.M,186
2011,code.KG08,code.M,158
2012,code.KG08,code.M,298
2013,code.KG08,code.M,270
2014,code.KG08,code.M,223
2015,code.KG08,code.M,153
2016,code.KG08,code.M,96
2017,code.KG08,code.M,133
2018,code.KG08,code.M,97
2007,code.KG08,code.F,554
2008,code.KG08,code.F,745
2009,code.KG08,code.F,461
2010,code.KG08,code.F,622
2011,code.KG08,code.F,423
2012,code.KG08,code.F,970
2013,code.KG08,code.F,751
2014,code.KG08,code.F,577
2015,code.KG08,code.F,944
2016,code.KG08,code.F,316
2017,code.KG08,code.F,165
2018,code.KG08,code.F,467
2007,code.KG11,,255
2008,code.KG11,,356
2009,code.KG11,,275
2010,code.KG11,,1724
2011,code.KG11,,264
2012,code.KG11,,211
2013,code.KG11,,476
2014,code.KG11,,344
2015,code.KG11,,200
2016,code.KG11,,308
2017,code.KG11,,281
2018,code.KG11,,345
2007,code.KG11,code.M,139
2008,code.KG11,code.M,273
2009,code.KG11,code.M,182
2010,code.KG11,code.M,361
2011,code.KG11,code.M,219
2012,code.KG11,code.M,153
2013,code.KG11,code.M,311
2014,code.KG11,code.M,303
2015,code.KG11,code.M,149
2016,code.KG11,code.M,339
2017,code.KG11,code.M,310
2018,code.KG11,code.M,336
2007,code.KG11,code.F,400
2008,code.KG11,code.F,441
2009,code.KG11,code.F,371
