Year,concept.REF_AREA,Value
2007,,295.0
2008,,301.0
2009,,312.0
2010,,341.0
2011,,414.0
2012,,421.0
2013,,419.0
2014,,433.0
2015,,397.0
2016,,386.0
2017,,339.0
2018,,359.0
2007,code.KG05,254.0
2008,code.KG05,272.0
2009,code.KG05,306.0
2010,code.KG05,361.0
2011,code.KG05,402.0
2012,code.KG05,446.0
2013,code.KG05,432.0
2014,code.KG05,433.0
2015,code.KG05,384.0
2016,code.KG05,365.0
2017,code.KG05,31.2
2018,code.KG05,30.2
2007,code.KG03,301.0
2008,code.KG03,330.0
2009,code.KG03,368.0
2010,code.KG03,388.0
2011,code.KG03,476.0
2012,code.KG03,453.0
2013,code.KG03,448.0
2014,code.KG03,477.0
2015,code.KG03,535.0
2016,code.KG03,393.0
2017,code.KG03,34.7
2018,code.KG03,36.2
2007,code.KG02,275.0
2008,code.KG02,277.0
2009,code.KG02,300.0
2010,code.KG02,302.0
2011,code.KG02,318.0
2012,code.KG02,318.0
2013,code.KG02,310.0
2014,code.KG02,318.0
2015,code.KG02,454.0
2016,code.KG02,328.0
2017,code.KG02,25.5
2018,code.KG02,28.8
2007,code.KG04,271.0
2008,code.KG04,231.0
2009,code.KG04,304.0
2010,code.KG04,297.0
2011,code.KG04,343.0
2012,code.KG04,330.0
2013,code.KG04,277.0
2014,code.KG04,292.0
2015,code.KG04,303.0
2016,code.KG04,291.0
2017,code.KG04,20.2
2018,code.KG04,22.7
2007,code.KG06,271.0
2008,code.KG06,271.0
2009,code.KG06,304.0
2010,code.KG06,330.0
2011,code.KG06,432.0
2012,code.KG06,440.0
2013,code.KG06,434.0
2014,code.KG06,458.0
2015,code.KG06,723.0
2016,code.KG06,416.0
2017,code.KG06,38.5
2018,code.KG06,35.2
2007,code.KG07,399.0
2008,code.KG07,389.0
2009,code.KG07,464.0
2010,code.KG07,485.0
2011,code.KG07,593.0
2012,code.KG07,588.0
2013,code.KG07,610.0
2014,code.KG07,582.0
2015,code.KG07,364.0
2016,code.KG07,419.0
2017,code.KG07,34.9
2018,code.KG07,37.1
2007,code.KG08,384.0
2008,code.KG08,401.0
2009,code.KG08,393.0
2010,code.KG08,440.0
2011,code.KG08,491.0
2012,code.KG08,503.0
2013,code.KG08,520.0
2014,code.KG08,508.0
2015,code.KG08,597.0
2016,code.KG08,478.0
2017,code.KG08,46.4
2018,code.KG08,52.1
2007,code.KG11,259.0
2008,code.KG11,248.0
2009,code.KG11,179.0
2010,code.KG11,204.0
2011,code.KG11,253.0
2012,code.KG11,260.0
2013,code.KG11,266.0
2014,code.KG11,265.0
2015,code.KG11,221.0
2016,code.KG11,214.0
2017,code.KG11,17.4
2018,code.KG11,24.3
2007,code.KG21,242.0
2008,code.KG21,260.0
2009,code.KG21,239.0
2010,code.KG21,270.0
2011,code.KG21,361.0
2012,code.KG21,439.0
2013,code.KG21,467.0
2014,code.KG21,549.0
2015,code.KG21,528.0
2016,code.KG21,526.0
2017,code.KG21,51.6
2018,code.KG21,650.0
