Year,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Value
2014,,,7658.0
2015,,,7569.0
2016,,,7333.7
2017,,,7657.8
2018,,,7758.0
2014,,code.WS_NATURAL,7432.4
2015,,code.WS_NATURAL,7225.2
2016,,code.WS_NATURAL,7125.0
2017,,code.WS_NATURAL,7433.2
2018,,code.WS_NATURAL,7513.0
2014,,code.WS_AQUIFER,225.6
2015,,code.WS_AQUIFER,343.8
2016,,code.WS_AQUIFER,208.7
2017,,code.WS_AQUIFER,224.6
2018,,code.WS_AQUIFER,245.0
2014,code.KG05,,615.1
2015,code.KG05,,643.1
2016,code.KG05,,645.2
2017,code.KG05,,632.8
2018,code.KG05,,647.7
2014,code.KG03,,781.4
2015,code.KG03,,985.7
2016,code.KG03,,948.9
2017,code.KG03,,936.2
2018,code.KG03,,926.6
2014,code.KG02,,628.5
2015,code.KG02,,578.9
2016,code.KG02,,524.6
2017,code.KG02,,623.7
2018,code.KG02,,621.1
2014,code.KG04,,607.7
2015,code.KG04,,620.5
2016,code.KG04,,607.7
2017,code.KG04,,614.8
2018,code.KG04,,642.3
2014,code.KG06,,1133.0
2015,code.KG06,,1190.1
2016,code.KG06,,1125.2
2017,code.KG06,,1183.5
2018,code.KG06,,1144.2
2014,code.KG07,,882.9
2015,code.KG07,,1011.8
2016,code.KG07,,944.0
2017,code.KG07,,991.6
2018,code.KG07,,963.3
2014,code.KG08,,2833.6
2015,code.KG08,,2368.2
2016,code.KG08,,2367.9
2017,code.KG08,,2500.5
2018,code.KG08,,2634.0
2014,code.KG11,,118.8
2015,code.KG11,,113.7
2016,code.KG11,,113.2
2017,code.KG11,,117.7
2018,code.KG11,,121.8
2014,code.KG21,,57.1
2015,code.KG21,,57.1
2016,code.KG21,,57.0
2017,code.KG21,,57.0
2018,code.KG21,,57.0
