Year,concept.REF_AREA,Value
2007,,43
2008,,40
2009,,32
2010,,25
2011,,32
2012,,28
2013,,18
2014,,17
2015,,19
2016,,13
2017,,12
2018,,8
2007,code.KG05,114
2008,code.KG05,115
2009,code.KG05,81
2010,code.KG05,78
2011,code.KG05,110
2012,code.KG05,53
2013,code.KG05,67
2014,code.KG05,76
2015,code.KG05,53
2016,code.KG05,36
2017,code.KG05,31
2018,code.KG05,15
2007,code.KG03,41
2008,code.KG03,35
2009,code.KG03,35
2010,code.KG03,28
2011,code.KG03,24
2012,code.KG03,23
2013,code.KG03,15
2014,code.KG03,14
2015,code.KG03,22
2016,code.KG03,9
2017,code.KG03,13
2018,code.KG03,7
2007,code.KG02,35
2008,code.KG02,30
2009,code.KG02,11
2010,code.KG02,9
2011,code.KG02,29
2012,code.KG02,18
2013,code.KG02,9
2014,code.KG02,9
2015,code.KG02,11
2016,code.KG02,6
2017,code.KG02,6
2018,code.KG02,6
2007,code.KG04,51
2008,code.KG04,31
2009,code.KG04,31
2010,code.KG04,31
2011,code.KG04,42
2012,code.KG04,26
2013,code.KG04,15
2014,code.KG04,15
2015,code.KG04,22
2016,code.KG04,7
2017,code.KG04,14
2018,code.KG04,11
2007,code.KG06,62
2008,code.KG06,69
2009,code.KG06,54
2010,code.KG06,32
2011,code.KG06,34
2012,code.KG06,53
2013,code.KG06,22
2014,code.KG06,22
2015,code.KG06,26
2016,code.KG06,22
2017,code.KG06,16
2018,code.KG06,15
2007,code.KG07,49
2008,code.KG07,27
2009,code.KG07,44
2010,code.KG07,17
2011,code.KG07,47
2012,code.KG07,25
2013,code.KG07,8
2014,code.KG07,12
2015,code.KG07,24
2016,code.KG07,24
2017,code.KG07,4
2018,code.KG07,8
2007,code.KG08,20
2008,code.KG08,16
2009,code.KG08,15
2010,code.KG08,10
2011,code.KG08,20
2012,code.KG08,22
2013,code.KG08,12
2014,code.KG08,6
2015,code.KG08,8
2016,code.KG08,7
2017,code.KG08,8
2018,code.KG08,1
2007,code.KG11,15
2008,code.KG11,12
2009,code.KG11,5
2010,code.KG11,8
2011,code.KG11,13
2012,code.KG11,8
2013,code.KG11,8
2014,code.KG11,4
2015,code.KG11,8
2016,code.KG11,6
2017,code.KG11,6
2018,code.KG11,4
2007,code.KG21,4
2008,code.KG21,8
2009,code.KG21,15
2010,code.KG21,16
2011,code.KG21,12
2012,code.KG21,8
2013,code.KG21,11
2014,code.KG21,11
2015,code.KG21,4
2016,code.KG21,4
2017,code.KG21,7
2018,code.KG21,7
