Year,concept.REF_AREA,Value
2007,,984.0
2008,,985.0
2009,,985.0
2010,,983.0
2011,,986.0
2012,,988.0
2013,,990.0
2014,,992.0
2015,,992.0
2016,,992.0
2017,,99.3
2018,,99.3
2007,code.KG05,977.0
2008,code.KG05,975.0
2009,code.KG05,989.0
2010,code.KG05,969.0
2011,code.KG05,971.0
2012,code.KG05,985.0
2013,code.KG05,991.0
2014,code.KG05,994.0
2015,code.KG05,993.0
2016,code.KG05,990.0
2017,code.KG05,99.2
2018,code.KG05,99.4
2007,code.KG03,990.0
2008,code.KG03,986.0
2009,code.KG03,989.0
2010,code.KG03,989.0
2011,code.KG03,991.0
2012,code.KG03,990.0
2013,code.KG03,991.0
2014,code.KG03,992.0
2015,code.KG03,993.0
2016,code.KG03,993.0
2017,code.KG03,99.4
2018,code.KG03,99.4
2007,code.KG02,993.0
2008,code.KG02,990.0
2009,code.KG02,993.0
2010,code.KG02,994.0
2011,code.KG02,995.0
2012,code.KG02,994.0
2013,code.KG02,994.0
2014,code.KG02,995.0
2015,code.KG02,994.0
2016,code.KG02,994.0
2017,code.KG02,99.5
2018,code.KG02,99.5
2007,code.KG04,977.0
2008,code.KG04,981.0
2009,code.KG04,983.0
2010,code.KG04,978.0
2011,code.KG04,987.0
2012,code.KG04,987.0
2013,code.KG04,987.0
2014,code.KG04,988.0
2015,code.KG04,988.0
2016,code.KG04,988.0
2017,code.KG04,990.0
2018,code.KG04,99.2
2007,code.KG06,969.0
2008,code.KG06,974.0
2009,code.KG06,965.0
2010,code.KG06,965.0
2011,code.KG06,973.0
2012,code.KG06,978.0
2013,code.KG06,982.0
2014,code.KG06,989.0
2015,code.KG06,991.0
2016,code.KG06,991.0
2017,code.KG06,99.1
2018,code.KG06,99.1
2007,code.KG07,993.0
2008,code.KG07,993.0
2009,code.KG07,993.0
2010,code.KG07,995.0
2011,code.KG07,997.0
2012,code.KG07,997.0
2013,code.KG07,997.0
2014,code.KG07,997.0
2015,code.KG07,997.0
2016,code.KG07,997.0
2017,code.KG07,99.5
2018,code.KG07,99.7
2007,code.KG08,990.0
2008,code.KG08,992.0
2009,code.KG08,992.0
2010,code.KG08,992.0
2011,code.KG08,991.0
2012,code.KG08,992.0
2013,code.KG08,991.0
2014,code.KG08,992.0
2015,code.KG08,992.0
2016,code.KG08,992.0
2017,code.KG08,99.2
2018,code.KG08,99.2
2007,code.KG11,994.0
2008,code.KG11,996.0
2009,code.KG11,996.0
2010,code.KG11,996.0
2011,code.KG11,995.0
2012,code.KG11,996.0
2013,code.KG11,996.0
2014,code.KG11,996.0
2015,code.KG11,995.0
2016,code.KG11,995.0
2017,code.KG11,99.5
2018,code.KG11,99.6
2007,code.KG21,989.0
2008,code.KG21,990.0
2009,code.KG21,989.0
2010,code.KG21,974.0
2011,code.KG21,99.342208
2012,code.KG21,990.0
2013,code.KG21,993.0
2014,code.KG21,994.0
2015,code.KG21,993.0
2016,code.KG21,993.0
2017,code.KG21,99.5
2018,code.KG21,99.7
