Year,concept.ACTIVITY,Value
2014,,26.1
2015,,26.7
2016,,22.0
2017,,25.3
2014,code.ISIC4_A,1.4
2015,code.ISIC4_A,1.1
2016,code.ISIC4_A,1.1
2017,code.ISIC4_A,1.1
2014,code.ISIC4_B,83.6
2015,code.ISIC4_B,55.4
2016,code.ISIC4_B,37.7
2017,code.ISIC4_B,22.8
2014,code.ISIC4_D,254.1
2015,code.ISIC4_D,201.4
2016,code.ISIC4_D,195.8
2017,code.ISIC4_D,174.5
