Year,concept.REF_AREA,concept.URBANISATION,Value
2013,,,17.5
2014,,,19.5
2015,,,19.9
2016,,,22.1
2017,,,23.5
2013,,code.U,31.6
2014,,code.U,32.3
2015,,code.U,31.1
2016,,code.U,32.3
2017,,code.U,34.2
2013,,code.R,10.8
2014,,code.R,13.2
2015,,code.R,14.2
2016,,code.R,16.6
2017,,code.R,17.9
2013,code.KG05,,16.1
2014,code.KG05,,19.6
2015,code.KG05,,20.6
2016,code.KG05,,23.9
2017,code.KG05,,25.8
2013,code.KG05,code.U,33.3
2014,code.KG05,code.U,33.1
2015,code.KG05,code.U,30.5
2016,code.KG05,code.U,32.8
2017,code.KG05,code.U,33.2
2013,code.KG05,code.R,10.2
2014,code.KG05,code.R,14.6
2015,code.KG05,code.R,16.7
2016,code.KG05,code.R,20.5
2017,code.KG05,code.R,23.0
2013,code.KG03,,15.2
2014,code.KG03,,15.5
2015,code.KG03,,16.1
2016,code.KG03,,18.7
2017,code.KG03,,20.2
2013,code.KG03,code.U,27.4
2014,code.KG03,code.U,28.5
2015,code.KG03,code.U,28.4
2016,code.KG03,code.U,30.6
2017,code.KG03,code.U,32.8
2013,code.KG03,code.R,10.3
2014,code.KG03,code.R,11.8
2015,code.KG03,code.R,12.6
2016,code.KG03,code.R,15.1
2017,code.KG03,code.R,16.5
2013,code.KG02,,17.4
2014,code.KG02,,18.8
2015,code.KG02,,20.9
2016,code.KG02,,24.1
2017,code.KG02,,25.8
2013,code.KG02,code.U,34.2
2014,code.KG02,code.U,33.3
2015,code.KG02,code.U,34.6
2016,code.KG02,code.U,38.8
2017,code.KG02,code.U,41.1
2013,code.KG02,code.R,9.4
2014,code.KG02,code.R,11.1
2015,code.KG02,code.R,12.8
2016,code.KG02,code.R,15.8
2017,code.KG02,code.R,17.7
2013,code.KG04,,19.6
2014,code.KG04,,25.7
2015,code.KG04,,22.3
2016,code.KG04,,26.6
2017,code.KG04,,31.6
2013,code.KG04,code.U,32.6
2014,code.KG04,code.U,36.8
2015,code.KG04,code.U,17.2
2016,code.KG04,code.U,39.7
2017,code.KG04,code.U,44.8
2013,code.KG04,code.R,17.5
2014,code.KG04,code.R,23.7
2015,code.KG04,code.R,9.8
2016,code.KG04,code.R,24.3
2017,code.KG04,code.R,29.2
2013,code.KG06,,11.6
2014,code.KG06,,13.1
2015,code.KG06,,14.3
2016,code.KG06,,16.3
2017,code.KG06,,17.2
2013,code.KG06,code.U,15.0
2014,code.KG06,code.U,16.4
2015,code.KG06,code.U,15.2
2016,code.KG06,code.U,18.1
2017,code.KG06,code.U,17.7
2013,code.KG06,code.R,11.4
2014,code.KG06,code.R,12.9
2015,code.KG06,code.R,14.2
2016,code.KG06,code.R,16.2
2017,code.KG06,code.R,17.2
2013,code.KG07,,14.4
2014,code.KG07,,17.0
2015,code.KG07,,20.6
2016,code.KG07,,20.8
2017,code.KG07,,22.2
2013,code.KG07,code.U,49.4
2014,code.KG07,code.U,58.4
2015,code.KG07,code.U,66.1
2016,code.KG07,code.U,65.6
2017,code.KG07,code.U,67.1
2013,code.KG07,code.R,10.3
2014,code.KG07,code.R,12.3
2015,code.KG07,code.R,15.8
2016,code.KG07,code.R,16.0
2017,code.KG07,code.R,17.3
2013,code.KG08,,12.5
2014,code.KG08,,16.0
2015,code.KG08,,16.5
2016,code.KG08,,18.5
2017,code.KG08,,19.3
2013,code.KG08,code.U,24.3
2014,code.KG08,code.U,27.6
2015,code.KG08,code.U,26.3
2016,code.KG08,code.U,30.0
2017,code.KG08,code.U,32.3
2013,code.KG08,code.R,9.3
2014,code.KG08,code.R,12.6
2015,code.KG08,code.R,13.3
2016,code.KG08,code.R,14.9
2017,code.KG08,code.R,15.5
2013,code.KG11,code.U,31.0
2014,code.KG11,code.U,29.4
2015,code.KG11,code.U,27.9
2016,code.KG11,code.U,28.0
2017,code.KG11,code.U,29.6
2013,code.KG21,code.U,41.9
2014,code.KG21,code.U,49.7
2015,code.KG21,code.U,48.2
2016,code.KG21,code.U,49.4
2017,code.KG21,code.U,47.9
