Year,concept.REF_AREA,Value
2007,,15.0
2008,,19.0
2009,,13.0
2010,,9.0
2011,,10.0
2012,,11.0
2013,,8.0
2014,,8.0
2015,,7.0
2016,,8.0
2017,,0.8
2018,,8.0
2007,code.KG05,9.0
2008,code.KG05,2.0
2009,code.KG05,16.0
2011,code.KG05,4.0
2013,code.KG05,6.0
2014,code.KG05,2.0
2015,code.KG05,16.0
2016,code.KG05,2.0
2017,code.KG05,1.6
2018,code.KG05,8.0
2007,code.KG03,2.0
2008,code.KG03,2.0
2009,code.KG03,9.0
2010,code.KG03,6.0
2011,code.KG03,3.0
2012,code.KG03,5.0
2015,code.KG03,1.0
2016,code.KG03,1.0
2017,code.KG03,0.5
2007,code.KG02,28.0
2008,code.KG02,37.0
2009,code.KG02,25.0
2010,code.KG02,14.0
2011,code.KG02,18.0
2012,code.KG02,7.0
2013,code.KG02,15.0
2014,code.KG02,24.0
2015,code.KG02,2.0
2016,code.KG02,13.0
2017,code.KG02,10.0
2018,code.KG02,8.0
2007,code.KG04,12.0
2010,code.KG04,4.0
2013,code.KG04,4.0
2018,code.KG04,11.0
2008,code.KG06,2.0
2009,code.KG06,3.0
2011,code.KG06,1.0
2012,code.KG06,3.0
2015,code.KG06,3.0
2016,code.KG06,2.0
2017,code.KG06,0.2
2018,code.KG06,12.0
2008,code.KG07,9.0
2009,code.KG07,4.0
2013,code.KG07,4.0
2014,code.KG07,4.0
2015,code.KG07,4.0
2016,code.KG07,4.0
2007,code.KG08,42.0
2008,code.KG08,61.0
2009,code.KG08,30.0
2010,code.KG08,32.0
2011,code.KG08,23.0
2012,code.KG08,31.0
2013,code.KG08,22.0
2014,code.KG08,19.0
2015,code.KG08,20.0
2016,code.KG08,22.0
2017,code.KG08,2.2
2018,code.KG08,26.0
2007,code.KG11,32.0
2008,code.KG11,34.0
2009,code.KG11,18.0
2010,code.KG11,9.0
2011,code.KG11,23.0
2012,code.KG11,26.0
2013,code.KG11,19.0
2014,code.KG11,19.0
2015,code.KG11,11.0
2016,code.KG11,15.0
2017,code.KG11,0.9
2018,code.KG11,13.0
2007,code.KG21,4.0
2011,code.KG21,4.0
2012,code.KG21,12.0
2015,code.KG21,4.0
