Year,concept.REF_AREA,Value
2014,,28
2018,,20
2014,code.KG05,22
2018,code.KG05,23
2014,code.KG03,79
2018,code.KG03,38
2014,code.KG02,17
2018,code.KG02,21
2014,code.KG04,5
2018,code.KG04,11
2014,code.KG06,11
2018,code.KG06,16
2014,code.KG07,10
2018,code.KG07,29
2014,code.KG08,15
2018,code.KG08,15
2014,code.KG11,21
2018,code.KG11,6
2014,code.KG21,24
2018,code.KG21,18
2014,,70
2018,,69
2014,code.KG05,34
2018,code.KG05,69
2014,code.KG03,87
2018,code.KG03,89
2014,code.KG02,78
2018,code.KG02,46
2014,code.KG04,62
2018,code.KG04,44
2014,code.KG06,47
2018,code.KG06,53
2014,code.KG07,73
2018,code.KG07,29
2014,code.KG08,90
2018,code.KG08,117
2014,code.KG11,95
2018,code.KG11,74
2014,code.KG21,43
2018,code.KG21,33
