Year,concept.REF_AREA,concept.SEX,Value
2010,,,53.8
2013,,,31.2
2014,,,27.4
2015,,,23.5
2016,,,28.4
2017,,,23.0
2010,,code.F,13.1
2013,,code.F,7.4
2014,,code.F,5.7
2015,,code.F,5.6
2016,,code.F,6.4
2017,,code.F,6.8
2010,,code.M,95.6
2013,,code.M,55.6
2014,,code.M,49.5
2015,,code.M,41.8
2016,,code.M,50.8
2017,,code.M,39.5
2010,code.KG05,,27.4
2013,code.KG05,,27.4
2014,code.KG05,,22.1
2015,code.KG05,,14.0
2016,code.KG05,,15.9
2017,code.KG05,,12.2
2010,code.KG05,code.F,1.9
2013,code.KG05,code.F,0.4
2014,code.KG05,code.F,0.4
2015,code.KG05,code.F,0.8
2016,code.KG05,code.F,0.4
2017,code.KG05,code.F,0.8
2010,code.KG05,code.M,52.2
2013,code.KG05,code.M,53.4
2014,code.KG05,code.M,43.1
2015,code.KG05,code.M,26.7
2016,code.KG05,code.M,30.8
2017,code.KG05,code.M,23.2
2010,code.KG03,,17.2
2013,code.KG03,,14.2
2014,code.KG03,,14.3
2015,code.KG03,,10.7
2016,code.KG03,,10.0
2017,code.KG03,,9.5
2010,code.KG03,code.F,1.2
2013,code.KG03,code.F,0.9
2014,code.KG03,code.F,1.4
2015,code.KG03,code.F,1.4
2016,code.KG03,code.F,1.2
2017,code.KG03,code.F,1.7
2010,code.KG03,code.M,33.2
2013,code.KG03,code.M,27.3
2014,code.KG03,code.M,27.1
2015,code.KG03,code.M,19.8
2016,code.KG03,code.M,18.7
2017,code.KG03,code.M,17.2
2010,code.KG02,,19.0
2013,code.KG02,,21.5
2014,code.KG02,,14.3
2015,code.KG02,,17.6
2016,code.KG02,,16.5
2017,code.KG02,,13.3
2010,code.KG02,code.F,3.1
2013,code.KG02,code.F,3.0
2014,code.KG02,code.F,3.9
2015,code.KG02,code.F,8.5
2016,code.KG02,code.F,1.7
2017,code.KG02,code.F,2.9
2010,code.KG02,code.M,35.1
2013,code.KG02,code.M,40.2
2014,code.KG02,code.M,24.9
2015,code.KG02,code.M,26.7
2016,code.KG02,code.M,31.4
2017,code.KG02,code.M,23.9
2010,code.KG04,,31.1
2013,code.KG04,,37.4
2014,code.KG04,,43.6
2015,code.KG04,,20.3
2016,code.KG04,,36.5
2017,code.KG04,,23.0
2010,code.KG04,code.F,5.4
2013,code.KG04,code.F,7.5
2014,code.KG04,code.F,11.2
2015,code.KG04,code.F,5.1
2016,code.KG04,code.F,13.8
2017,code.KG04,code.F,9.4
2010,code.KG04,code.M,56.0
2013,code.KG04,code.M,66.5
2014,code.KG04,code.M,75.1
2015,code.KG04,code.M,35.0
2016,code.KG04,code.M,58.5
2017,code.KG04,code.M,36.2
2010,code.KG06,,35.0
2013,code.KG06,,27.2
2014,code.KG06,,24.7
2015,code.KG06,,29.3
2016,code.KG06,,25.1
2017,code.KG06,,26.2
2010,code.KG06,code.F,2.9
2013,code.KG06,code.F,3.4
2014,code.KG06,code.F,1.3
2015,code.KG06,code.F,2.9
2016,code.KG06,code.F,3.6
2017,code.KG06,code.F,4.2
2010,code.KG06,code.M,66.7
2013,code.KG06,code.M,50.7
2014,code.KG06,code.M,47.7
2015,code.KG06,code.M,55.2
2016,code.KG06,code.M,46.2
2017,code.KG06,code.M,47.8
2010,code.KG07,,43.0
2013,code.KG07,,40.2
2014,code.KG07,,41.6
2015,code.KG07,,18.9
2016,code.KG07,,24.5
2017,code.KG07,,40.1
2010,code.KG07,code.F,2.6
2013,code.KG07,code.F,5.0
2014,code.KG07,code.F,7.4
2015,code.KG07,code.F,4.0
2016,code.KG07,code.F,8.0
2017,code.KG07,code.F,7.1
2010,code.KG07,code.M,83.1
2013,code.KG07,code.M,74.9
2014,code.KG07,code.M,75.2
2015,code.KG07,code.M,33.4
2016,code.KG07,code.M,40.7
2017,code.KG07,code.M,72.4
2010,code.KG08,,60.6
2013,code.KG08,,51.1
2014,code.KG08,,36.0
2015,code.KG08,,30.0
2016,code.KG08,,50.5
2017,code.KG08,,32.8
2010,code.KG08,code.F,20.1
2013,code.KG08,code.F,16.1
2014,code.KG08,code.F,10.5
2015,code.KG08,code.F,10.5
2016,code.KG08,code.F,16.3
2017,code.KG08,code.F,12.1
2010,code.KG08,code.M,102.6
2013,code.KG08,code.M,87.2
2014,code.KG08,code.M,62.2
2015,code.KG08,code.M,50.1
2016,code.KG08,code.M,85.9
2017,code.KG08,code.M,54.3
2010,code.KG11,,164.9
2013,code.KG11,,44.7
2014,code.KG11,,40.7
2015,code.KG11,,36.4
2016,code.KG11,,48.6
2017,code.KG11,,35.1
2010,code.KG11,code.F,50.1
2013,code.KG11,code.F,19.0
2014,code.KG11,code.F,13.1
2015,code.KG11,code.F,11.1
2016,code.KG11,code.F,10.8
2017,code.KG11,code.F,16.5
2010,code.KG11,code.M,297.5
2013,code.KG11,code.M,74.3
2014,code.KG11,code.M,72.3
2015,code.KG11,code.M,65.3
2016,code.KG11,code.M,91.6
2017,code.KG11,code.M,56.3
2010,code.KG21,,29.9
2013,code.KG21,,18.3
2014,code.KG21,,22.0
2015,code.KG21,,19.8
2016,code.KG21,,16.9
2017,code.KG21,,11.6
2010,code.KG21,code.F,4.5
2013,code.KG21,code.F,2.9
2014,code.KG21,code.F,5.8
2015,code.KG21,code.F,2.8
2016,code.KG21,code.F,2.1
2017,code.KG21,code.F,2.0
2010,code.KG21,code.M,57.5
2013,code.KG21,code.M,34.8
2014,code.KG21,code.M,39.6
2015,code.KG21,code.M,38.0
2016,code.KG21,code.M,32.7
2017,code.KG21,code.M,21.8
