Year,concept.REF_AREA,concept.AGE,concept.URBANISATION,concept.INCOME_WEALTH_QUANTILE,concept.EDUCATION_LEV,concept.DISABILITY_STATUS,Value
2018,,code.Y15T49,,,,,7.7
2018,,code.Y15T49,code.U,,,,7.9
2018,,code.Y15T49,code.R,,,,7.6
2018,code.KG05,code.Y15T49,,,,,0.4
2018,code.KG03,code.Y15T49,,,,,7.3
2018,code.KG02,code.Y15T49,,,,,1.7
2018,code.KG04,code.Y15T49,,,,,2.8
2018,code.KG06,code.Y15T49,,,,,6.5
2018,code.KG07,code.Y15T49,,,,,50.0
2018,code.KG08,code.Y15T49,,,,,16.6
2018,code.KG11,code.Y15T49,,,,,8.7
2018,code.KG21,code.Y15T49,,,,,70.0
2018,,code.Y15T19,,,,,6.5
2018,,code.Y15T17,,,,,5.7
2018,,code.Y18T19,,,,,8.3
2018,,code.Y20T24,,,,,9.1
2018,,code.Y25T29,,,,,7.1
2018,,code.Y30T34,,,,,8.8
2018,,code.Y35T39,,,,,8.7
2018,,code.Y40T44,,,,,6.4
2018,,code.Y45T49,,,,,70.0
2018,,code.Y15T49,,,code.ISCED11_1,,140.0
2018,,code.Y15T49,,,code.ISCED11_2,,59.0
2018,,code.Y15T49,,,code.ISCED11_3,,69.0
2018,,code.Y15T49,,,code.ISCED11_4,,82.0
2018,,code.Y15T49,,,,code.PD,207.0
2018,,code.Y15T49,,,,code.PWD,76.0
2018,,code.Y15T49,,code.Q1,,,60.0
2018,,code.Y15T49,,code.Q2,,,67.0
2018,,code.Y15T49,,code.Q3,,,97.0
2018,,code.Y15T49,,code.Q4,,,71.0
2018,,code.Y15T49,,code.Q5,,,88.0
