Year,Территория,GeoCode,Value
2010,,,2.2
2011,,,2.2
2012,,,2.1
2013,,,1.9
2014,,,1.8
2015,,,1.7
2016,,,1.8
2017,,,1.7
2018,,,1.7
2019,,,1.5
2020,,,1.5
2021,,,1.5
2022,,,1.6
2010,Баткенская область,KG05,0.4
2011,Баткенская область,KG05,0.4
2012,Баткенская область,KG05,0.3
2013,Баткенская область,KG05,0.3
2014,Баткенская область,KG05,0.3
2015,Баткенская область,KG05,0.1
2016,Баткенская область,KG05,0.1
2017,Баткенская область,KG05,0.1
2018,Баткенская область,KG05,0.2
2019,Баткенская область,KG05,0.2
2020,Баткенская область,KG05,0.2
2021,Баткенская область,KG05,0.3
2022,Баткенская область,KG05,0.4
2010,Джалал-Абадская область,KG03,1.1
2011,Джалал-Абадская область,KG03,1.1
2012,Джалал-Абадская область,KG03,1.1
2013,Джалал-Абадская область,KG03,0.9
2014,Джалал-Абадская область,KG03,0.8
2015,Джалал-Абадская область,KG03,0.8
2016,Джалал-Абадская область,KG03,0.9
2017,Джалал-Абадская область,KG03,0.9
2018,Джалал-Абадская область,KG03,0.9
2019,Джалал-Абадская область,KG03,0.8
2020,Джалал-Абадская область,KG03,0.8
2021,Джалал-Абадская область,KG03,0.8
2022,Джалал-Абадская область,KG03,0.9
2010,Иссык-Кульская область,KG02,2.7
2011,Иссык-Кульская область,KG02,2.7
2012,Иссык-Кульская область,KG02,2.4
2013,Иссык-Кульская область,KG02,2.2
2014,Иссык-Кульская область,KG02,1.4
2015,Иссык-Кульская область,KG02,1.3
2016,Иссык-Кульская область,KG02,1.4
2017,Иссык-Кульская область,KG02,0.4
2018,Иссык-Кульская область,KG02,0.4
2019,Иссык-Кульская область,KG02,0.4
2020,Иссык-Кульская область,KG02,0.4
2021,Иссык-Кульская область,KG02,0.6
2022,Иссык-Кульская область,KG02,0.6
2010,Нарынская область,KG04,1.5
2011,Нарынская область,KG04,1.5
2012,Нарынская область,KG04,1.5
2013,Нарынская область,KG04,1.5
2014,Нарынская область,KG04,1.4
2015,Нарынская область,KG04,1.5
2016,Нарынская область,KG04,1.6
2017,Нарынская область,KG04,1.7
2018,Нарынская область,KG04,1.9
2019,Нарынская область,KG04,1.9
2020,Нарынская область,KG04,1.8
2021,Нарынская область,KG04,1.8
2022,Нарынская область,KG04,2.1
2010,Ошская область,KG06,0.3
2011,Ошская область,KG06,0.3
2012,Ошская область,KG06,0.3
2013,Ошская область,KG06,0.3
2014,Ошская область,KG06,0.3
2015,Ошская область,KG06,0.3
2016,Ошская область,KG06,0.4
2017,Ошская область,KG06,0.4
2018,Ошская область,KG06,0.5
2019,Ошская область,KG06,0.5
2020,Ошская область,KG06,0.5
2021,Ошская область,KG06,0.5
2022,Ошская область,KG06,0.6
2010,Таласская область,KG07,0.7
2011,Таласская область,KG07,0.8
2012,Таласская область,KG07,0.8
2013,Таласская область,KG07,0.5
2014,Таласская область,KG07,0.8
2015,Таласская область,KG07,0.8
2016,Таласская область,KG07,0.8
2017,Таласская область,KG07,0.8
2018,Таласская область,KG07,0.8
2019,Таласская область,KG07,0.7
2020,Таласская область,KG07,0.7
2021,Таласская область,KG07,0.8
2022,Таласская область,KG07,0.9
2010,Чуйская область,KG08,3.0
2011,Чуйская область,KG08,3.0
2012,Чуйская область,KG08,2.8
2013,Чуйская область,KG08,2.3
2014,Чуйская область,KG08,2.2
2015,Чуйская область,KG08,2.1
2016,Чуйская область,KG08,2.1
2017,Чуйская область,KG08,2.1
2018,Чуйская область,KG08,2.1
2019,Чуйская область,KG08,2.0
2020,Чуйская область,KG08,1.9
2021,Чуйская область,KG08,1.9
2022,Чуйская область,KG08,2.3
2010,г. Бишкек,KG11,5.5
2011,г. Бишкек,KG11,5.4
2012,г. Бишкек,KG11,5.3
2013,г. Бишкек,KG11,5.2
2014,г. Бишкек,KG11,5.3
2015,г. Бишкек,KG11,5.1
2016,г. Бишкек,KG11,5.1
2017,г. Бишкек,KG11,5.0
2018,г. Бишкек,KG11,4.7
2019,г. Бишкек,KG11,4.7
2020,г. Бишкек,KG11,4.6
2021,г. Бишкек,KG11,4.4
2022,г. Бишкек,KG11,4.3
2010,г. Ош,KG21,4.1
2011,г. Ош,KG21,4.2
2012,г. Ош,KG21,4.1
2013,г. Ош,KG21,4.0
2014,г. Ош,KG21,3.8
2015,г. Ош,KG21,3.6
2016,г. Ош,KG21,3.6
2017,г. Ош,KG21,3.5
2018,г. Ош,KG21,3.6
2019,г. Ош,KG21,0.3
2020,г. Ош,KG21,0.4
2021,г. Ош,KG21,0.4
2022,г. Ош,KG21,0.3
