Year,REF_AREA,SEX,AGE,URBANISATION,Value
2012,KG04,,,,39.932299
2013,KG04,,,,43.754395
2014,KG04,,,,30.560927
2015,KG04,,,,38.007029
2016,KG04,,,,37.798212
2017,KG04,,,,29.21834
2018,KG04,,,,30.596328
2019,KG04,,,,28.138698
2020,KG04,,,,36.8
2007,KG04,F,,,46.868159
2008,KG04,F,,,42.698866
2009,KG04,F,,,44.838863
2010,KG04,F,,,53.397509
2011,KG04,F,,,48.269824
2012,KG04,F,,,37.664069
2013,KG04,F,,,44.781415
2014,KG04,F,,,32.369301
2015,KG04,F,,,39.504744
2016,KG04,F,,,39.601891
2017,KG04,F,,,31.189138
2018,KG04,F,,,31.5949
2019,KG04,F,,,28.978045
2020,KG04,F,,,37.6
2007,KG04,M,,,43.678265
2008,KG04,M,,,42.757725
2009,KG04,M,,,43.496308
2010,KG04,M,,,53.676668
2011,KG04,M,,,51.728537
2012,KG04,M,,,42.395906
2013,KG04,M,,,42.671843
2014,KG04,M,,,28.643083
2015,KG04,M,,,36.407725
2016,KG04,M,,,35.859946
2017,KG04,M,,,27.069804
2018,KG04,M,,,29.460632
2019,KG04,M,,,27.215175
2020,KG04,M,,,35.9
2007,KG06,,,,46.59161
2008,KG06,,,,37.452826
2009,KG06,,,,38.292036
2010,KG06,,,,41.897118
2011,KG06,,,,44.680774
2012,KG06,,,,51.433698
2013,KG06,,,,43.409369
2014,KG06,,,,31.74014
2015,KG06,,,,28.944511
2016,KG06,,,,22.024663
2017,KG06,,,,14.267617
2018,KG06,,,,14.77862
2019,KG06,,,,14.029578
2020,KG06,,,,18.8
2007,KG06,F,,,48.708186
2008,KG06,F,,,37.931554
2009,KG06,F,,,38.334636
2010,KG06,F,,,40.639754
2011,KG06,F,,,44.169695
2012,KG06,F,,,50.553916
2013,KG06,F,,,42.660819
2014,KG06,F,,,30.494417
2015,KG06,F,,,28.438703
2016,KG06,F,,,21.810872
2017,KG06,F,,,12.948415
2018,KG06,F,,,15.25625
2019,KG06,F,,,14.136274
2020,KG06,F,,,18.9
2007,KG06,M,,,44.295394
2008,KG06,M,,,36.91306
2009,KG06,M,,,38.245332
2010,KG06,M,,,43.246261
2011,KG06,M,,,45.24075
2012,KG06,M,,,52.41883
2013,KG06,M,,,44.228326
2014,KG06,M,,,33.102942
2015,KG06,M,,,29.48951
2016,KG06,M,,,22.264453
2017,KG06,M,,,15.723495
2018,KG06,M,,,14.253422
2019,KG06,M,,,13.910068
2020,KG06,M,,,18.7
2007,KG07,,,,35.259053
2008,KG07,,,,42.972123
2009,KG07,,,,33.003964
2010,KG07,,,,42.338833
2011,KG07,,,,50.172706
2012,KG07,,,,39.57478
2013,KG07,,,,23.057182
2014,KG07,,,,19.048344
2015,KG07,,,,21.481514
2016,KG07,,,,18.115851
2017,KG07,,,,20.679703
2018,KG07,,,,22.085934
2019,KG07,,,,13.290366
2020,KG07,,,,12.5
2007,KG07,F,,,35.524401
2008,KG07,F,,,45.40342
2009,KG07,F,,,35.673722
2010,KG07,F,,,44.324841
2011,KG07,F,,,51.365667
2012,KG07,F,,,42.155403
2013,KG07,F,,,23.320678
2014,KG07,F,,,19.717988
2015,KG07,F,,,22.565255
2016,KG07,F,,,19.131642
2017,KG07,F,,,21.40538
2018,KG07,F,,,23.802663
2019,KG07,F,,,13.968631
2020,KG07,F,,,12.1
2007,KG07,M,,,34.937966
2008,KG07,M,,,40.025342
2009,KG07,M,,,29.757565
2010,KG07,M,,,40.090318
2011,KG07,M,,,48.834977
2012,KG07,M,,,36.737399
2013,KG07,M,,,22.797196
2014,KG07,M,,,18.38895
2015,KG07,M,,,20.402521
2016,KG07,M,,,17.094741
2017,KG07,M,,,19.940922
2018,KG07,M,,,20.340712
2019,KG07,M,,,12.593674
2020,KG07,M,,,12.9
2007,KG08,,,,14.980994
2008,KG08,,,,15.782631
2009,KG08,,,,21.239381
2010,KG08,,,,21.868453
2011,KG08,,,,28.620908
2012,KG08,,,,16.571766
2013,KG08,,,,23.615399
2014,KG08,,,,21.576154
2015,KG08,,,,24.813851
2016,KG08,,,,30.306457
2017,KG08,,,,33.300588
2018,KG08,,,,15.569903
2019,KG08,,,,19.096515
2020,KG08,,,,25.4
2007,KG08,F,,,13.323177
2008,KG08,F,,,14.947409
2009,KG08,F,,,20.612283
2010,KG08,F,,,21.810234
2011,KG08,F,,,31.580794
2012,KG08,F,,,16.336951
2013,KG08,F,,,23.536875
2014,KG08,F,,,20.781079
2015,KG08,F,,,24.23137
2016,KG08,F,,,29.796796
2017,KG08,F,,,32.33125
2018,KG08,F,,,15.460809
2019,KG08,F,,,19.149802
2020,KG08,F,,,24.3
2007,KG08,M,,,16.816017
2008,KG08,M,,,16.656433
2009,KG08,M,,,21.936014
2010,KG08,M,,,21.932251
2011,KG08,M,,,25.292386
2012,KG08,M,,,16.835987
2013,KG08,M,,,23.697958
2014,KG08,M,,,22.438097
2015,KG08,M,,,25.448532
2016,KG08,M,,,30.862157
2017,KG08,M,,,34.357578
2018,KG08,M,,,15.688805
2019,KG08,M,,,19.037373
2020,KG08,M,,,26.6
2007,KG11,,,,5.005041
2008,KG11,,,,15.199877
2009,KG11,,,,13.244359
2010,KG11,,,,7.89363
2011,KG11,,,,18.412319
2012,KG11,,,,21.394253
2013,KG11,,,,20.374195
2014,KG11,,,,17.559795
2015,KG11,,,,23.541813
2016,KG11,,,,9.78144
2017,KG11,,,,15.895977
2018,KG11,,,,15.431849
2019,KG11,,,,11.923173
2020,KG11,,,,16.8
2007,KG11,F,,,4.99107
2008,KG11,F,,,14.580408
2009,KG11,F,,,12.694536
2010,KG11,F,,,7.30227
2011,KG11,F,,,17.126273
2012,KG11,F,,,19.902241
2013,KG11,F,,,18.389802
2014,KG11,F,,,15.756847
2015,KG11,F,,,22.249204
2016,KG11,F,,,8.899379
2017,KG11,F,,,14.320885
2018,KG11,F,,,14.746661
2019,KG11,F,,,10.945122
2020,KG11,F,,,16.4
2007,KG11,M,,,5.022346
2008,KG11,M,,,15.989713
2009,KG11,M,,,13.950363
2010,KG11,M,,,8.654215
2011,KG11,M,,,20.038087
2012,KG11,M,,,23.294374
2013,KG11,M,,,22.845597
2014,KG11,M,,,19.854368
2015,KG11,M,,,25.206391
2016,KG11,M,,,10.893361
2017,KG11,M,,,17.858219
2018,KG11,M,,,16.325681
2019,KG11,M,,,13.205044
2020,KG11,M,,,17.3
2007,KG21,,,,0.0
2008,KG21,,,,0.0
2009,KG21,,,,0.0
2010,KG21,,,,0.0
2011,KG21,,,,0.0
2012,KG21,,,,0.0
2013,KG21,,,,40.875893
2014,KG21,,,,33.421786
2015,KG21,,,,38.278868
2016,KG21,,,,24.59944
2017,KG21,,,,33.489021
2018,KG21,,,,35.470048
2019,KG21,,,,20.664792
2020,KG21,,,,14.7
2007,KG21,F,,,0.0
2008,KG21,F,,,0.0
2009,KG21,F,,,0.0
2010,KG21,F,,,0.0
2011,KG21,F,,,0.0
2012,KG21,F,,,0.0
2013,KG21,F,,,40.214977
2014,KG21,F,,,31.961883
2015,KG21,F,,,35.847234
2016,KG21,F,,,23.187149
2017,KG21,F,,,30.888271
2018,KG21,F,,,33.89696
2019,KG21,F,,,19.658728
2020,KG21,F,,,14.7
2007,KG21,M,,,0.0
2008,KG21,M,,,0.0
2009,KG21,M,,,0.0
2010,KG21,M,,,0.0
2011,KG21,M,,,0.0
2012,KG21,M,,,0.0
2013,KG21,M,,,41.620642
2014,KG21,M,,,35.041318
2015,KG21,M,,,41.029123
2016,KG21,M,,,26.170219
2017,KG21,M,,,36.383303
2018,KG21,M,,,37.27373
2019,KG21,M,,,21.814125
2020,KG21,M,,,14.8
